Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
G1_1	80	68	986	1168	1655	0	58	222	216	0
G1_2	44	10	313	609	1577	0	207	59	257	150
G1_3	36	24	1009	468	779	0	0	0	339	17
G1_4	0	48	450	50	1192	37	578	6	0	0
G1_5	60	90	99	854	2132	0	0	700	337	0
G1_6	29	0	446	315	819	0	0	165	180	77
G1_7	68	0	2073	224	1149	29	423	409	503	156
G1_8	0	0	1031	0	2259	86	374	392	77	140
G1_9	5	3	195	0	760	19	77	43	116	69
G1_10	0	0	600	48	422	54	16	113	50	55
G1_11	0	0	435	0	504	28	212	0	60	43
G1_12	0	0	931	0	2026	129	0	644	191	179
G1_13	18	35	348	0	941	0	1	0	169	0
G1_14	0	0	394	210	604	32	0	0	178	52
G1_15	0	0	737	126	2171	183	100	662	396	220
G1_16	17	23	430	0	727	0	471	0	0	0
G1_17	0	45	2042	0	924	128	312	912	0	0
G1_18	6	0	853	0	641	76	0	496	70	93
G1_19	0	0	1132	125	722	26	186	135	165	72
G1_20	15	0	440	140	602	0	0	106	56	79
G1_21	0	40	412	0	992	54	385	113	0	0
G1_22	0	0	299	522	582	70	0	206	158	61
G1_23	4	95	835	603	2244	73	629	103	180	0
G2_1	347	0	0	211	18	119	0	213	51	28
G2_2	1552	34	161	422	90	1148	341	456	102	0
G2_3	1795	0	0	1183	79	730	0	0	0	54
G2_4	2214	0	1121	0	115	586	314	312	306	74
G2_5	1035	0	583	0	41	0	0	189	198	6
G2_6	997	12	0	672	34	0	175	0	57	0
G2_7	1619	0	129	1037	71	562	17	198	358	70
G2_8	939	11	0	664	31	120	206	256	0	0
G2_9	2442	0	796	198	93	663	0	490	0	94
G2_10	1723	0	0	927	79	480	299	394	70	60
G2_11	1088	25	680	882	78	1155	769	0	306	0
G2_12	382	0	449	0	12	512	0	0	0	9
G2_13	1011	0	478	10	14	0	183	51	235	44
G2_14	651	0	209	294	20	625	0	15	311	32
G2_15	1199	0	617	54	26	494	0	46	72	24
G2_16	1023	22	0	538	63	19	0	68	132	0
G2_17	1395	0	615	0	19	753	0	0	12	39
G2_18	1939	0	552	472	23	0	0	225	279	46
G2_19	855	0	324	208	55	39	227	328	0	46
G2_20	1792	15	0	1134	99	0	262	383	0	0
G2_21	1696	11	1178	0	84	0	482	0	923	0
G2_22	239	4	32	0	12	0	0	214	20	10
G2_23	899	0	0	661	30	496	0	53	45	24
G2_24	702	2	358	0	25	66	232	71	0	0
G2_25	1251	0	595	0	33	335	38	294	155	31
G2_26	747	0	0	427	8	85	281	22	0	13
G2_27	1735	28	154	1237	47	0	0	541	22	0
G2_28	1676	33	941	107	94	654	593	413	16	0
