Samples	SBS96A	SBS96B
G1_1	5.87E+02	5.87E+02
G1_2	4.21E+02	4.21E+02
G1_3	3.60E+02	3.60E+02
G1_4	3.18E+02	3.18E+02
G1_5	5.64E+02	5.64E+02
G1_6	2.66E+02	2.66E+02
G1_7	6.16E+02	6.16E+02
G1_8	6.13E+02	6.13E+02
G1_9	1.67E+02	1.67E+02
G1_10	1.70E+02	1.70E+02
G1_11	1.75E+02	1.75E+02
G1_12	5.39E+02	5.39E+02
G1_13	2.15E+02	2.15E+02
G1_14	2.08E+02	2.08E+02
G1_15	5.86E+02	5.86E+02
G1_16	2.32E+02	2.32E+02
G1_17	5.55E+02	5.55E+02
G1_18	2.66E+02	2.66E+02
G1_19	3.52E+02	3.52E+02
G1_20	1.97E+02	1.97E+02
G1_21	2.71E+02	2.71E+02
G1_22	2.40E+02	2.40E+02
G1_23	6.47E+02	6.47E+02
G2_1	4.08E+00	4.08E+00
G2_2	5.32E+00	5.32E+00
G2_3	4.43E+00	4.43E+00
G2_4	6.44E+00	6.44E+00
G2_5	1.95E+00	1.95E+00
G2_6	3.10E+00	3.10E+00
G2_7	8.75E+00	8.75E+00
G2_8	4.71E+00	4.71E+00
G2_9	7.51E+00	7.51E+00
G2_10	5.47E+00	5.47E+00
G2_11	1.74E+01	1.74E+01
G2_12	3.20E+00	3.20E+00
G2_13	2.36E+00	2.36E+00
G2_14	3.26E+00	3.26E+00
G2_15	3.36E+00	3.36E+00
G2_16	6.00E+00	6.00E+00
G2_17	1.67E+00	1.67E+00
G2_18	3.07E+00	3.07E+00
G2_19	4.65E+00	4.65E+00
G2_20	3.82E+00	3.82E+00
G2_21	9.81E+00	9.81E+00
G2_22	1.05E+00	1.05E+00
G2_23	1.52E+00	1.52E+00
G2_24	1.98E+00	1.98E+00
G2_25	3.62E+00	3.62E+00
G2_26	2.10E+00	2.10E+00
G2_27	9.28E+00	9.28E+00
G2_28	9.83E+00	9.83E+00
G2_29	6.82E+00	6.82E+00
G2_30	6.18E+00	6.18E+00
G2_31	1.32E+00	1.32E+00
G2_32	4.89E+00	4.89E+00
G2_33	2.58E+00	2.58E+00
G2_34	5.42E+00	5.42E+00
G2_35	6.31E+00	6.31E+00
G2_36	3.12E+00	3.12E+00
G2_37	2.51E+00	2.51E+00
G2_38	5.22E+00	5.17E+00
G2_39	4.17E+00	4.17E+00
G2_40	2.25E+00	2.25E+00
G2_41	5.05E+00	5.05E+00
G2_42	5.39E+00	5.39E+00
G2_43	3.69E+00	3.69E+00
G2_44	1.67E+00	1.67E+00
G2_45	2.58E+00	2.58E+00
G2_46	3.56E+00	3.56E+00
G2_47	2.76E+00	2.76E+00
G2_48	7.24E+00	7.24E+00
G2_49	5.99E+00	5.99E+00
G2_50	5.62E+00	5.62E+00
G2_51	3.91E+00	3.91E+00
G2_52	4.26E+00	4.26E+00
G2_53	3.34E+00	3.34E+00
G2_54	5.29E+00	5.29E+00
G2_55	7.47E+00	7.47E+00
G2_56	9.99E+00	9.99E+00
G2_57	3.46E+00	3.46E+00
G2_58	4.38E+00	4.38E+00
G2_59	2.66E+00	2.66E+00
G2_60	6.44E+00	6.44E+00
G2_61	6.58E+00	6.58E+00
G2_62	2.93E+00	2.93E+00
G2_63	4.29E+00	4.29E+00
G2_64	5.42E+00	5.42E+00
G2_65	1.91E+00	1.91E+00
G2_66	4.08E+00	4.08E+00
G2_67	6.34E+00	6.34E+00
G2_68	5.94E+00	5.94E+00
G2_69	7.98E+00	7.98E+00
G2_70	5.09E+00	5.09E+00
G2_71	6.32E+00	6.32E+00
G2_72	6.48E+00	6.48E+00
G2_73	4.31E+00	4.31E+00
G3_1	7.10E+00	7.10E+00
G3_2	8.19E+00	8.19E+00
G3_3	3.15E+00	3.15E+00
G3_4	8.66E+00	8.66E+00
G3_5	4.40E+00	4.40E+00
G3_6	5.22E+00	5.22E+00
G3_7	3.71E+00	3.71E+00
G3_8	5.19E+00	5.19E+00
G3_9	7.74E+00	7.74E+00
G3_10	1.05E+01	1.05E+01
G3_11	1.53E+01	1.53E+01
G3_12	3.63E+00	3.63E+00
G3_13	1.96E+01	1.96E+01
G3_14	3.72E+00	3.72E+00
G3_15	4.11E+00	4.11E+00
G3_16	2.78E+00	2.78E+00
G3_17	1.76E+01	1.76E+01
G3_18	2.99E+00	2.99E+00
G3_19	1.18E+01	1.18E+01
G3_20	6.30E+00	6.30E+00
G3_21	7.65E+00	7.65E+00
G3_22	2.85E+01	2.85E+01
G3_23	4.14E+00	4.14E+00
G3_24	6.16E+00	6.16E+00
G3_25	4.63E+00	4.63E+00
G3_26	0.00E+00	0.00E+00
G3_27	5.82E+00	5.82E+00
G3_28	4.27E+00	4.27E+00
G3_29	1.57E+00	1.57E+00
G3_30	5.87E+00	5.87E+00
G3_31	5.04E+00	5.04E+00
G3_32	3.12E+00	3.12E+00
G3_33	3.82E+00	3.82E+00
G3_34	9.19E+00	9.19E+00
G3_35	2.38E+00	2.38E+00
G3_36	2.67E+00	2.67E+00
G3_37	4.69E+00	4.69E+00
G3_38	9.87E+00	9.87E+00
G3_39	2.91E+00	2.91E+00
G3_40	1.97E+01	1.97E+01
G3_41	2.36E+01	2.36E+01
G3_42	1.00E+00	1.00E+00
G3_43	1.07E+01	1.07E+01
G3_44	4.15E+00	4.15E+00
G3_45	2.57E+00	2.57E+00
G3_46	7.70E+00	7.70E+00
G3_47	3.53E+00	3.53E+00
G3_48	1.34E+00	1.34E+00
G3_49	7.49E+00	7.49E+00
G3_50	8.19E+00	8.19E+00
G3_51	1.31E+01	1.31E+01
G3_52	3.61E+00	3.61E+00
G3_53	1.89E+00	1.89E+00
G3_54	4.94E+00	4.94E+00
G3_55	2.29E+00	2.29E+00
