Samples	SBS96A	SBS96B	SBS96C
G1_1	139	107	4207
G1_2	51	88	3087
G1_3	81	69	2522
G1_4	19	50	2292
G1_5	85	93	4094
G1_6	49	46	1936
G1_7	263	153	4618
G1_8	28	43	4288
G1_9	0	30	1257
G1_10	56	40	1262
G1_11	28	26	1228
G1_12	85	74	3941
G1_13	0	27	1485
G1_14	26	32	1412
G1_15	176	100	4319
G1_16	35	28	1605
G1_17	222	114	4027
G1_18	119	69	2047
G1_19	55	66	2442
G1_20	17	45	1376
G1_21	37	41	1918
G1_22	96	47	1755
G1_23	52	113	4601
G2_1	906	21	60
G2_2	4306	0	0
G2_3	3789	33	19
G2_4	4662	56	324
G2_5	1803	10	239
G2_6	1725	24	198
G2_7	3690	57	314
G2_8	1926	25	276
G2_9	4776	0	0
G2_10	3897	42	93
G2_11	3469	86	1428
G2_12	1125	13	226
G2_13	1834	35	157
G2_14	2032	30	95
G2_15	2476	17	39
G2_16	1824	31	10
G2_17	2833	0	0
G2_18	3361	36	139
G2_19	1684	38	360
G2_20	3273	29	383
G2_21	3317	56	1001
G2_22	531	0	0
G2_23	2135	16	57
G2_24	1292	7	157
G2_25	2655	23	54
G2_26	1470	13	100
G2_27	3107	58	599
G2_28	3866	66	595
G2_29	4659	61	116
G2_30	4553	66	341
G2_31	695	9	100
G2_32	2218	33	380
G2_33	1941	7	0
G2_34	904	28	289
G2_35	2420	31	323
G2_36	1559	6	0
G2_37	1845	20	297
G2_38	2584	47	441
G2_39	2892	43	489
G2_40	914	10	55
G2_41	1528	16	197
G2_42	3680	15	0
G2_43	1808	25	258
G2_44	3214	0	0
G2_45	3487	0	0
G2_46	1409	23	147
G2_47	772	15	144
G2_48	2627	55	516
G2_49	2231	45	208
G2_50	4625	0	0
G2_51	2441	42	30
G2_52	2553	40	536
G2_53	1083	25	199
G2_54	3408	29	377
G2_55	2022	55	625
G2_56	4140	73	82
G2_57	2146	20	160
G2_58	3040	0	0
G2_59	905	19	189
G2_60	2846	31	408
G2_61	4056	56	790
G2_62	761	12	244
G2_63	1185	16	126
G2_64	3428	36	40
G2_65	1703	18	24
G2_66	4709	0	0
G2_67	2193	42	348
G2_68	3392	54	445
G2_69	1634	50	297
G2_70	3531	37	113
G2_71	1538	37	384
G2_72	2571	50	433
G2_73	2423	0	0
G3_1	67	1860	254
G3_2	96	4346	398
G3_3	14	580	143
G3_4	54	4405	0
G3_5	25	1547	311
G3_6	25	776	243
G3_7	23	1422	142
G3_8	32	2160	0
G3_9	0	3946	0
G3_10	101	3097	196
G3_11	151	3672	519
G3_12	20	4587	199
G3_13	105	2324	321
G3_14	36	1521	448
G3_15	70	2960	863
G3_16	8	885	64
G3_17	41	975	282
G3_18	13	2355	210
G3_19	47	1277	307
G3_20	81	3334	447
G3_21	43	987	123
G3_22	141	2098	958
G3_23	43	2630	740
G3_24	49	982	48
G3_25	0	4095	0
G3_26	0	691	0
G3_27	39	1174	0
G3_28	0	3180	0
G3_29	0	1714	0
G3_30	43	4964	40
G3_31	14	2648	278
G3_32	0	683	0
G3_33	13	2089	62
G3_34	23	4938	0
G3_35	45	1947	0
G3_36	19	558	82
G3_37	52	2977	815
G3_38	40	2060	0
G3_39	0	3055	0
G3_40	110	2835	1159
G3_41	113	4034	0
G3_42	6	2310	168
G3_43	94	3923	85
G3_44	0	2424	0
G3_45	19	1060	194
G3_46	51	1532	0
G3_47	15	1424	55
G3_48	0	1440	0
G3_49	61	2253	496
G3_50	63	2339	544
G3_51	98	3069	607
G3_52	25	1814	0
G3_53	12	1297	17
G3_54	31	840	0
G3_55	0	4792	0
