Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
G1_1	87	1777	73	356	2160	0
G1_2	27	532	0	263	2057	347
G1_3	30	1311	0	132	1036	163
G1_4	12	380	0	195	1553	221
G1_5	32	338	0	695	2791	416
G1_6	20	580	0	197	1080	154
G1_7	69	2294	0	841	1501	329
G1_8	30	763	0	374	2923	269
G1_9	11	86	18	116	987	69
G1_10	24	601	0	78	547	108
G1_11	16	444	19	146	657	0
G1_12	65	729	77	610	2619	0
G1_13	15	180	20	0	1225	72
G1_14	18	511	24	128	789	0
G1_15	98	639	96	953	2809	0
G1_16	20	427	0	110	987	124
G1_17	65	2186	48	873	1191	0
G1_18	45	869	40	454	827	0
G1_19	2	1226	0	250	938	147
G1_20	15	515	34	86	788	0
G1_21	31	371	41	273	1280	0
G1_22	38	691	28	375	766	0
G1_23	24	1012	0	372	2923	435
G2_1	472	146	0	283	30	56
G2_2	2511	422	6	1076	141	150
G2_3	2564	783	0	244	134	116
G2_4	2930	1066	0	713	168	165
G2_5	1206	556	0	208	62	20
G2_6	1165	502	0	151	64	65
G2_7	2228	833	0	718	121	161
G2_8	1165	523	0	416	60	63
G2_9	3240	788	0	435	136	177
G2_10	2295	685	0	781	133	138
G2_11	1988	1491	0	1204	138	162
G2_12	766	439	5	136	18	0
G2_13	1172	474	0	254	29	97
G2_14	1150	413	19	537	38	0
G2_15	1701	604	12	174	41	0
G2_16	1200	324	0	135	96	110
G2_17	2089	531	18	163	32	0
G2_18	2250	829	0	298	51	108
G2_19	1012	507	0	381	83	99
G2_20	2081	858	0	511	158	77
G2_21	1975	1235	0	916	137	111
G2_22	278	34	9	193	17	0
G2_23	1363	453	0	285	56	51
G2_24	855	389	3	169	40	0
G2_25	1657	567	16	440	52	0
G2_26	929	359	0	227	26	42
G2_27	2019	1102	31	525	87	0
G2_28	2345	1062	0	810	142	168
G2_29	2813	895	14	860	132	122
G2_30	2953	1225	41	651	90	0
G2_31	430	210	0	140	5	19
G2_32	1414	695	0	369	73	80
G2_33	1210	364	0	315	17	42
G2_34	566	413	14	226	2	0
G2_35	1541	694	0	384	75	80
G2_36	838	176	0	431	64	56
G2_37	1096	529	0	449	41	47
G2_38	1589	807	26	572	78	0
G2_39	1723	840	23	727	111	0
G2_40	579	220	6	148	26	0
G2_41	914	370	0	331	80	46
G2_42	2270	578	30	649	168	0
G2_43	1127	542	13	363	46	0
G2_44	2006	479	0	578	86	65
G2_45	2427	403	0	419	120	118
G2_46	898	394	14	234	39	0
G2_47	534	288	9	71	29	0
G2_48	1547	806	0	673	45	127
G2_49	1428	580	0	303	49	124
G2_50	3068	678	35	742	102	0
G2_51	1497	451	0	381	53	131
G2_52	1631	890	0	446	66	96
G2_53	696	370	14	195	32	0
G2_54	2208	937	0	471	119	79
G2_55	1273	838	20	446	83	42
G2_56	2284	644	0	1046	109	212
G2_57	1457	591	12	196	70	0
G2_58	1689	117	36	1012	142	44
G2_59	546	282	0	208	30	47
G2_60	1842	904	15	463	61	0
G2_61	2667	1408	0	570	131	126
G2_62	452	301	0	218	20	26
G2_63	809	341	0	84	40	53
G2_64	2170	665	0	455	99	115
G2_65	1072	356	13	263	41	0
G2_66	3593	455	0	421	113	127
G2_67	1196	544	24	730	89	0
G2_68	2222	990	0	417	112	150
G2_69	979	470	0	353	46	133
G2_70	2137	682	0	636	104	122
G2_71	982	563	0	268	56	90
G2_72	1586	771	0	508	62	127
G2_73	1392	264	0	625	75	67
G3_1	0	512	1125	72	23	449
G3_2	50	1489	2972	252	77	0
G3_3	0	236	383	0	11	107
G3_4	14	801	2686	500	77	381
G3_5	8	651	1070	112	42	0
G3_6	0	326	498	0	26	194
G3_7	12	502	983	65	25	0
G3_8	3	411	1362	7	37	372
G3_9	37	833	2610	430	36	0
G3_10	43	938	2012	357	44	0
G3_11	25	1043	2259	206	108	701
G3_12	23	1500	3242	0	41	0
G3_13	32	722	1427	483	86	0
G3_14	11	784	1069	124	17	0
G3_15	37	1572	2164	45	75	0
G3_16	5	299	616	24	13	0
G3_17	2	390	587	290	29	0
G3_18	5	801	1645	0	47	80
G3_19	0	431	781	23	35	361
G3_20	38	1242	2321	0	62	199
G3_21	3	241	577	80	24	228
G3_22	52	1232	1408	418	87	0
G3_23	21	1442	1946	0	4	0
G3_24	16	230	593	116	27	97
G3_25	35	655	3203	143	59	0
G3_26	0	83	479	89	13	27
G3_27	12	217	704	119	36	125
G3_28	22	483	2418	220	37	0
G3_29	0	333	1123	85	33	140
G3_30	33	1368	3424	0	103	119
G3_31	12	989	1894	0	45	0
G3_32	0	44	448	35	10	146
G3_33	14	641	1470	0	39	0
G3_34	67	1184	3404	226	80	0
G3_35	27	492	1281	156	36	0
G3_36	4	187	363	0	6	99
G3_37	27	1592	2198	0	27	0
G3_38	0	249	1161	242	32	416
G3_39	0	417	2124	0	86	428
G3_40	39	1695	1996	304	70	0
G3_41	11	643	2327	460	71	635
G3_42	8	806	1641	0	29	0
G3_43	0	721	2373	0	109	899
G3_44	15	250	1737	0	21	401
G3_45	0	377	683	87	21	105
G3_46	5	223	881	101	24	349
G3_47	2	399	956	0	15	122
G3_48	2	130	1186	0	24	98
G3_49	2	845	1476	0	61	426
G3_50	2	886	1521	70	77	390
G3_51	3	1024	1943	47	90	667
G3_52	25	434	1199	179	2	0
G3_53	3	334	865	0	20	104
G3_54	18	182	534	88	21	28
G3_55	23	783	3413	288	45	240
