NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	271.064	11.313	46.411	5.968	0.025	0.998	10000.0
2	269.047	11.263	46.497	5.982	0.025	0.998	10000.0
3	269.566	11.257	46.458	5.944	0.025	0.998	10000.0
4	273.057	11.34	47.383	6.055	0.025	0.998	10000.0
5	271.959	11.302	46.821	5.988	0.025	0.998	10000.0
6	270.516	11.26	46.867	5.984	0.025	0.998	10000.0
7	269.6	11.224	46.209	5.927	0.025	0.998	10000.0
8	271.493	11.255	46.931	5.942	0.025	0.998	10000.0
9	270.465	11.292	46.172	5.923	0.025	0.998	10000.0
10	267.254	11.146	45.76	5.858	0.024	0.998	10000.0
