Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
G1_1	73	72	1521	595	270	1922	0
G1_2	26	25	341	749	34	1825	226
G1_3	31	36	1353	0	335	917	0
G1_4	20	50	142	782	0	1367	0
G1_5	47	95	340	584	733	2473	0
G1_6	23	35	662	0	357	954	0
G1_7	54	0	1960	783	600	1334	303
G1_8	22	0	487	931	63	2598	258
G1_9	4	0	22	235	0	875	151
G1_10	20	0	623	0	130	487	98
G1_11	7	0	304	291	0	586	94
G1_12	40	23	802	0	679	2331	225
G1_13	6	0	210	54	0	1089	153
G1_14	8	0	510	0	153	700	99
G1_15	58	0	666	76	878	2505	412
G1_16	20	25	225	550	0	848	0
G1_17	41	0	1782	710	565	1066	199
G1_18	27	0	848	0	451	740	169
G1_19	0	0	1070	365	151	836	141
G1_20	11	33	528	0	168	698	0
G1_21	16	0	188	432	46	1140	174
G1_22	32	28	702	0	456	680	0
G1_23	41	101	561	1473	0	2590	0
G2_1	426	0	154	41	281	27	58
G2_2	2266	0	230	679	851	117	163
G2_3	2316	0	889	0	405	116	115
G2_4	2645	0	898	612	594	143	150
G2_5	1083	3	591	0	323	52	0
G2_6	1046	14	283	555	0	49	0
G2_7	2009	0	869	144	791	103	145
G2_8	1050	0	100	969	0	47	61
G2_9	2928	0	939	0	625	118	166
G2_10	2077	29	420	818	580	108	0
G2_11	1793	0	675	1828	414	110	163
G2_12	690	4	452	0	203	15	0
G2_13	1059	0	320	426	106	22	93
G2_14	1033	0	437	0	570	33	84
G2_15	1533	0	645	0	270	35	49
G2_16	1084	8	307	181	134	83	68
G2_17	1889	12	597	0	287	26	22
G2_18	2032	0	858	118	386	42	100
G2_19	913	0	166	803	36	69	95
G2_20	1881	0	624	652	323	135	70
G2_21	1781	0	983	661	733	114	102
G2_22	250	8	47	0	211	15	0
G2_23	1226	0	506	0	385	47	44
G2_24	778	0	270	292	58	35	23
G2_25	1498	0	610	0	509	45	70
G2_26	835	7	94	629	0	18	0
G2_27	1819	30	1144	0	697	74	0
G2_28	2117	0	497	1380	262	117	154
G2_29	2550	40	658	782	698	108	0
G2_30	2668	40	565	1535	84	68	0
G2_31	389	0	68	325	0	2	20
G2_32	1276	0	740	11	461	63	80
G2_33	1092	0	43	763	0	9	41
G2_34	508	0	229	374	53	0	57
G2_35	1394	17	254	1051	0	58	0
G2_36	755	0	0	467	242	50	51
G2_37	990	0	79	1010	12	29	42
G2_38	1432	0	809	48	606	68	109
G2_39	1557	22	864	52	833	96	0
G2_40	522	6	237	0	192	22	0
G2_41	827	9	316	207	314	68	0
G2_42	2042	2	147	1035	214	141	114
G2_43	1020	0	558	11	400	41	61
G2_44	1809	0	99	975	208	68	55
G2_45	2188	0	524	0	563	101	111
G2_46	807	13	415	0	312	32	0
G2_47	481	9	186	232	0	23	0
G2_48	1398	27	840	98	801	34	0
G2_49	1288	0	644	0	392	42	118
G2_50	2772	0	538	483	594	87	151
G2_51	1352	0	424	215	349	43	130
G2_52	1470	18	360	1234	0	47	0
G2_53	627	14	269	242	128	27	0
G2_54	1988	16	376	1340	0	94	0
G2_55	1145	0	736	250	375	72	124
G2_56	2060	0	673	206	1065	92	199
G2_57	1316	12	372	536	33	57	0
G2_58	1528	45	59	333	957	118	0
G2_59	492	0	117	391	47	24	42
G2_60	1666	0	905	68	510	55	81
G2_61	2406	0	1283	441	557	110	105
G2_62	405	0	67	510	0	14	21
G2_63	726	2	226	308	0	32	33
G2_64	1966	25	584	401	446	82	0
G2_65	968	13	226	340	165	33	0
G2_66	3238	0	22	1252	0	87	110
G2_67	1077	16	344	486	558	74	28
G2_68	2003	0	548	1099	13	91	137
G2_69	884	0	468	112	358	39	120
G2_70	1928	0	215	1171	173	83	111
G2_71	890	19	526	186	292	46	0
G2_72	1424	0	837	0	634	52	107
G2_73	1260	0	0	717	337	54	55
G3_1	21	1229	308	604	6	13	0
G3_2	38	2971	1305	0	466	60	0
G3_3	1	400	200	85	0	8	43
G3_4	0	2638	711	0	511	60	539
G3_5	1	1058	572	0	158	36	58
G3_6	7	540	244	233	0	20	0
G3_7	0	933	397	24	0	21	212
G3_8	20	1446	397	146	155	28	0
G3_9	13	2552	660	0	446	27	248
G3_10	0	1879	734	0	181	38	562
G3_11	23	2298	783	602	34	90	512
G3_12	25	3351	1306	78	0	46	0
G3_13	0	1293	524	64	236	77	556
G3_14	7	1067	503	418	0	10	0
G3_15	28	2167	1415	0	220	63	0
G3_16	3	617	260	0	67	10	0
G3_17	0	521	310	0	192	26	249
G3_18	6	1669	600	267	0	36	0
G3_19	6	830	346	286	0	27	136
G3_20	41	2375	1026	288	83	49	0
G3_21	0	576	255	0	98	20	204
G3_22	43	1407	1127	0	546	74	0
G3_23	17	1974	1212	206	0	4	0
G3_24	10	584	150	130	55	22	128
G3_25	6	3118	451	0	152	45	323
G3_26	0	488	71	0	123	9	0
G3_27	15	732	168	119	143	29	7
G3_28	0	2335	314	0	147	29	355
G3_29	0	1136	183	264	20	25	86
G3_30	31	3462	974	499	0	81	0
G3_31	8	1908	766	221	0	37	0
G3_32	5	482	0	160	31	5	0
G3_33	6	1460	546	1	62	32	57
G3_34	53	3402	999	0	447	60	0
G3_35	20	1278	418	0	215	30	31
G3_36	8	383	197	0	67	4	0
G3_37	20	2210	1286	309	0	19	0
G3_38	18	1258	132	432	239	21	0
G3_39	6	2214	177	595	0	63	0
G3_40	10	1918	1489	0	314	61	312
G3_41	38	2472	384	756	435	49	13
G3_42	10	1707	731	0	3	33	0
G3_43	39	2582	909	0	483	89	0
G3_44	32	1831	310	0	239	12	0
G3_45	0	703	368	0	170	17	15
G3_46	6	904	175	182	55	19	242
G3_47	3	969	375	0	74	11	62
G3_48	0	1184	95	0	32	18	111
G3_49	22	1575	645	521	0	47	0
G3_50	11	1583	795	226	138	65	128
G3_51	33	2094	1132	0	442	73	0
G3_52	4	1138	214	235	0	0	248
G3_53	7	896	296	55	56	16	0
G3_54	16	540	164	0	135	16	0
G3_55	0	3349	601	36	254	34	518
