Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
G1_1	101	64	1701	275	2312
G1_2	58	76	576	317	2199
G1_3	47	30	1333	153	1109
G1_4	33	47	402	219	1660
G1_5	71	90	349	782	2980
G1_6	35	32	590	221	1153
G1_7	105	61	2295	966	1607
G1_8	59	53	756	367	3124
G1_9	20	34	76	105	1052
G1_10	35	21	616	102	584
G1_11	19	17	418	127	701
G1_12	79	71	614	534	2802
G1_13	0	35	175	0	1302
G1_14	22	21	482	101	844
G1_15	115	90	484	908	2998
G1_16	33	23	436	124	1052
G1_17	79	34	2091	879	1280
G1_18	53	35	809	452	886
G1_19	17	27	1236	279	1004
G1_20	19	32	490	53	844
G1_21	38	38	317	231	1372
G1_22	45	24	640	370	819
G1_23	64	93	1059	424	3126
G2_1	506	11	124	314	32
G2_2	2683	37	301	1136	149
G2_3	2734	24	728	214	141
G2_4	3131	32	975	724	180
G2_5	1284	1	512	189	66
G2_6	1246	13	479	141	68
G2_7	2380	32	758	763	128
G2_8	1242	11	475	435	64
G2_9	3460	38	717	417	144
G2_10	2454	26	594	817	141
G2_11	2130	27	1382	1296	148
G2_12	818	3	409	113	21
G2_13	1254	20	451	270	31
G2_14	1223	17	331	545	41
G2_15	1813	10	544	121	44
G2_16	1284	24	312	143	102
G2_17	2230	17	462	89	35
G2_18	2399	20	777	287	53
G2_19	1084	19	476	415	88
G2_20	2222	13	781	500	169
G2_21	2109	16	1133	970	146
G2_22	297	8	8	199	19
G2_23	1451	9	406	282	60
G2_24	914	1	354	143	44
G2_25	1767	13	483	414	55
G2_26	987	6	326	236	28
G2_27	2152	27	1001	489	95
G2_28	2511	32	980	852	152
G2_29	3007	38	781	868	142
G2_30	3149	37	1088	588	98
G2_31	461	3	193	142	5
G2_32	1508	14	649	383	77
G2_33	1293	8	317	311	19
G2_34	604	12	377	225	3
G2_35	1648	14	644	388	80
G2_36	893	10	130	465	67
G2_37	1170	6	473	470	43
G2_38	1693	22	712	562	83
G2_39	1840	19	729	716	120
G2_40	615	5	192	139	28
G2_41	975	8	330	343	85
G2_42	2417	28	454	616	180
G2_43	1202	11	479	349	50
G2_44	2135	9	393	586	91
G2_45	2582	24	334	421	126
G2_46	958	12	348	220	41
G2_47	572	8	269	51	31
G2_48	1654	24	744	727	49
G2_49	1528	26	553	325	52
G2_50	3272	33	528	681	111
G2_51	1598	27	417	416	55
G2_52	1742	15	837	465	70
G2_53	742	13	334	183	35
G2_54	2357	12	863	455	127
G2_55	1359	25	775	454	89
G2_56	2441	44	552	1142	116
G2_57	1551	11	534	154	76
G2_58	1817	0	0	1069	154
G2_59	584	8	264	225	32
G2_60	1963	11	814	430	67
G2_61	2844	21	1326	571	140
G2_62	483	2	277	234	21
G2_63	860	9	328	88	42
G2_64	2319	23	602	455	105
G2_65	1143	12	304	242	44
G2_66	3825	25	359	383	117
G2_67	1275	20	443	750	95
G2_68	2373	28	940	431	119
G2_69	1050	27	453	403	48
G2_70	2280	22	606	664	109
G2_71	1052	18	543	286	60
G2_72	1691	24	722	551	66
G2_73	1484	11	189	660	79
G3_1	29	1297	520	313	22
G3_2	54	3142	1137	430	77
G3_3	6	434	228	58	11
G3_4	39	2924	568	853	75
G3_5	9	1129	524	177	44
G3_6	11	575	333	98	27
G3_7	13	1038	388	123	25
G3_8	27	1531	374	223	37
G3_9	39	2757	501	615	34
G3_10	47	2126	682	496	43
G3_11	72	2553	989	616	112
G3_12	0	3566	1240	0	0
G3_13	36	1504	518	603	89
G3_14	12	1128	658	190	17
G3_15	39	2286	1331	159	78
G3_16	5	652	228	59	13
G3_17	4	616	297	351	30
G3_18	11	1771	651	95	50
G3_19	20	911	454	211	35
G3_20	54	2506	1050	188	64
G3_21	18	663	239	209	24
G3_22	58	1482	1038	527	92
G3_23	25	2083	1252	44	9
G3_24	23	649	183	196	28
G3_25	35	3390	280	334	56
G3_26	0	515	36	140	0
G3_27	20	774	165	217	37
G3_28	23	2558	190	375	34
G3_29	5	1219	243	214	33
G3_30	43	3667	1030	200	107
G3_31	13	2015	786	79	47
G3_32	7	510	36	121	9
G3_33	14	1556	477	77	40
G3_34	70	3598	780	434	79
G3_35	29	1354	335	237	37
G3_36	10	409	177	58	5
G3_37	30	2337	1365	83	29
G3_38	26	1326	226	491	31
G3_39	13	2361	312	281	88
G3_40	44	2106	1452	428	74
G3_41	54	2607	536	881	69
G3_42	0	1804	680	0	0
G3_43	53	2726	734	477	112
G3_44	41	1936	178	251	18
G3_45	4	745	326	177	21
G3_46	28	1014	223	295	23
G3_47	10	1041	331	97	15
G3_48	7	1280	27	103	23
G3_49	31	1669	819	226	65
G3_50	28	1701	833	304	80
G3_51	47	2209	1009	417	92
G3_52	0	1273	286	280	0
G3_53	10	950	274	71	21
G3_54	21	572	122	135	21
G3_55	38	3668	446	600	40
