Samples	SBS96A
G1_1	0.00E+00
G1_2	0.00E+00
G1_3	0.00E+00
G1_4	0.00E+00
G1_5	0.00E+00
G1_6	0.00E+00
G1_7	0.00E+00
G1_8	0.00E+00
G1_9	0.00E+00
G1_10	0.00E+00
G1_11	0.00E+00
G1_12	0.00E+00
G1_13	0.00E+00
G1_14	0.00E+00
G1_15	0.00E+00
G1_16	0.00E+00
G1_17	0.00E+00
G1_18	0.00E+00
G1_19	0.00E+00
G1_20	0.00E+00
G1_21	0.00E+00
G1_22	0.00E+00
G1_23	0.00E+00
G2_1	0.00E+00
G2_2	0.00E+00
G2_3	0.00E+00
G2_4	0.00E+00
G2_5	0.00E+00
G2_6	0.00E+00
G2_7	0.00E+00
G2_8	0.00E+00
G2_9	0.00E+00
G2_10	0.00E+00
G2_11	0.00E+00
G2_12	0.00E+00
G2_13	0.00E+00
G2_14	0.00E+00
G2_15	0.00E+00
G2_16	0.00E+00
G2_17	0.00E+00
G2_18	0.00E+00
G2_19	0.00E+00
G2_20	0.00E+00
G2_21	0.00E+00
G2_22	0.00E+00
G2_23	0.00E+00
G2_24	0.00E+00
G2_25	0.00E+00
G2_26	0.00E+00
G2_27	0.00E+00
G2_28	0.00E+00
G2_29	0.00E+00
G2_30	0.00E+00
G2_31	0.00E+00
G2_32	0.00E+00
G2_33	0.00E+00
G2_34	0.00E+00
G2_35	0.00E+00
G2_36	0.00E+00
G2_37	0.00E+00
G2_38	0.00E+00
G2_39	0.00E+00
G2_40	0.00E+00
G2_41	0.00E+00
G2_42	0.00E+00
G2_43	0.00E+00
G2_44	0.00E+00
G2_45	0.00E+00
G2_46	0.00E+00
G2_47	0.00E+00
G2_48	0.00E+00
G2_49	0.00E+00
G2_50	0.00E+00
G2_51	0.00E+00
G2_52	0.00E+00
G2_53	0.00E+00
G2_54	0.00E+00
G2_55	0.00E+00
G2_56	0.00E+00
G2_57	0.00E+00
G2_58	0.00E+00
G2_59	0.00E+00
G2_60	0.00E+00
G2_61	0.00E+00
G2_62	0.00E+00
G2_63	0.00E+00
G2_64	0.00E+00
G2_65	0.00E+00
G2_66	0.00E+00
G2_67	0.00E+00
G2_68	0.00E+00
G2_69	0.00E+00
G2_70	0.00E+00
G2_71	0.00E+00
G2_72	0.00E+00
G2_73	0.00E+00
G3_1	0.00E+00
G3_2	0.00E+00
G3_3	0.00E+00
G3_4	0.00E+00
G3_5	0.00E+00
G3_6	0.00E+00
G3_7	0.00E+00
G3_8	0.00E+00
G3_9	0.00E+00
G3_10	0.00E+00
G3_11	0.00E+00
G3_12	0.00E+00
G3_13	0.00E+00
G3_14	0.00E+00
G3_15	0.00E+00
G3_16	0.00E+00
G3_17	0.00E+00
G3_18	0.00E+00
G3_19	0.00E+00
G3_20	0.00E+00
G3_21	0.00E+00
G3_22	0.00E+00
G3_23	0.00E+00
G3_24	0.00E+00
G3_25	0.00E+00
G3_26	0.00E+00
G3_27	0.00E+00
G3_28	0.00E+00
G3_29	0.00E+00
G3_30	0.00E+00
G3_31	0.00E+00
G3_32	0.00E+00
G3_33	0.00E+00
G3_34	0.00E+00
G3_35	0.00E+00
G3_36	0.00E+00
G3_37	0.00E+00
G3_38	0.00E+00
G3_39	0.00E+00
G3_40	0.00E+00
G3_41	0.00E+00
G3_42	0.00E+00
G3_43	0.00E+00
G3_44	0.00E+00
G3_45	0.00E+00
G3_46	0.00E+00
G3_47	0.00E+00
G3_48	0.00E+00
G3_49	0.00E+00
G3_50	0.00E+00
G3_51	0.00E+00
G3_52	0.00E+00
G3_53	0.00E+00
G3_54	0.00E+00
G3_55	0.00E+00
