NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1557.965	57.652	597.27	65.084	0.307	0.742	10000.0
2	1556.004	57.586	596.837	64.999	0.307	0.743	10000.0
3	1556.645	57.611	596.839	65.0	0.307	0.743	10000.0
4	1556.399	57.595	596.798	64.996	0.307	0.743	10000.0
5	1555.894	57.578	596.635	64.967	0.307	0.743	10000.0
6	1556.23	57.597	597.113	65.056	0.307	0.742	10000.0
7	1556.823	57.611	597.245	65.079	0.307	0.742	10000.0
8	1555.59	57.567	596.794	64.993	0.307	0.743	10000.0
9	1556.372	57.591	596.812	64.994	0.307	0.743	10000.0
10	1556.862	57.613	597.023	65.039	0.307	0.742	10000.0
