Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
G1_1	7.10E+00	6.63E+00	6.38E+01	5.49E+01	6.20E+01
G1_2	6.01E+00	5.75E+00	5.98E+01	3.53E+01	6.07E+01
G1_3	3.17E+00	4.53E+00	4.99E+01	4.70E+01	3.78E+01
G1_4	3.15E+00	3.56E+00	4.81E+01	3.11E+01	4.86E+01
G1_5	6.35E+00	6.75E+00	8.98E+01	6.75E+01	9.69E+01
G1_6	2.67E+00	3.87E+00	3.78E+01	3.20E+01	4.44E+01
G1_7	9.90E+00	7.28E+00	1.19E+02	1.36E+02	5.65E+01
G1_8	6.47E+00	7.46E+00	7.64E+01	2.37E+01	7.05E+01
G1_9	2.71E+00	2.49E+00	2.31E+01	1.30E+01	2.75E+01
G1_10	3.15E+00	3.02E+00	2.53E+01	1.71E+01	2.55E+01
G1_11	2.36E+00	3.16E+00	2.39E+01	2.02E+01	2.75E+01
G1_12	6.05E+00	6.97E+00	8.94E+01	5.27E+01	9.37E+01
G1_13	3.43E+00	3.69E+00	3.60E+01	2.70E+00	3.79E+01
G1_14	3.40E+00	3.16E+00	3.09E+01	1.93E+01	3.54E+01
G1_15	7.74E+00	6.85E+00	1.15E+02	6.18E+01	1.00E+02
G1_16	2.81E+00	3.97E+00	3.67E+01	2.03E+01	3.87E+01
G1_17	3.86E+00	5.97E+00	1.12E+02	1.18E+02	3.44E+01
G1_18	3.74E+00	3.34E+00	5.57E+01	5.49E+01	2.74E+01
G1_19	3.32E+00	3.70E+00	5.86E+01	5.72E+01	3.00E+01
G1_20	2.49E+00	2.21E+00	2.83E+01	2.01E+01	2.85E+01
G1_21	3.07E+00	3.32E+00	3.65E+01	2.89E+01	3.33E+01
G1_22	3.30E+00	3.69E+00	4.47E+01	4.58E+01	2.76E+01
G1_23	4.83E+00	9.58E+00	9.63E+01	5.42E+01	9.31E+01
G2_1	7.38E+00	2.37E+00	1.74E+01	1.92E+01	3.70E+00
G2_2	5.56E+01	4.65E+00	4.16E+01	5.06E+01	1.32E+01
G2_3	5.92E+01	2.93E+00	3.51E+01	5.00E+01	8.58E+00
G2_4	6.46E+01	4.05E+00	3.54E+01	6.08E+01	1.23E+01
G2_5	2.78E+01	1.28E+00	2.14E+01	1.88E+01	7.36E+00
