Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	1.0	295.88	6.645%	39.579	3.001%	0.00873	0.999
G1_2	3226	0.999	228.903	7.096%	31.386	3.63%	0.01411	0.999
G1_3	2672	0.997	304.611	11.4%	64.631	7.787%	0.01755	0.997
G1_4	2361	0.997	274.062	11.608%	47.367	7.497%	0.0183	0.997
G1_5	4272	0.998	423.349	9.91%	66.488	6.447%	0.01301	0.998
G1_6	2031	0.997	256.794	12.644%	44.339	7.858%	0.0225	0.996
G1_7	5034	0.999	337.813	6.711%	47.773	3.346%	0.00889	0.999
G1_8	4359	0.999	309.024	7.089%	46.482	3.89%	0.00871	0.999
G1_9	1287	0.996	194.261	15.094%	30.161	9.169%	0.04145	0.996
G1_10	1358	0.998	179.83	13.242%	24.779	6.069%	0.04134	0.998
G1_11	1282	0.994	228.87	17.853%	41.28	11.38%	0.04341	0.993
G1_12	4100	0.998	389.278	9.495%	62.794	5.904%	0.0122	0.998
G1_13	1512	0.998	187.988	12.433%	28.682	6.551%	0.02987	0.998
G1_14	1470	0.998	177.293	12.061%	26.834	6.253%	0.03138	0.998
G1_15	4595	0.999	345.363	7.516%	48.353	4.36%	0.00834	0.999
G1_16	1668	0.992	289.994	17.386%	58.814	12.309%	0.03964	0.991
G1_17	4363	0.999	430.871	9.876%	75.024	5.909%	0.01251	0.998
G1_18	2235	0.997	284.135	12.713%	46.923	7.899%	0.02209	0.996
G1_19	2563	0.999	212.887	8.306%	29.496	3.775%	0.01532	0.999
G1_20	1438	0.995	227.971	15.853%	40.554	9.512%	0.03239	0.995
G1_21	1996	0.996	255.229	12.787%	45.791	8.71%	0.02207	0.996
G1_22	1898	0.998	228.126	12.019%	33.155	6.522%	0.02244	0.998
G1_23	4766	0.999	349.82	7.34%	51.416	3.905%	0.00913	0.999
G2_1	987	0.994	169.252	17.148%	28.275	11.083%	0.04473	0.993
G2_2	4306	0.999	330.93	7.685%	44.468	3.58%	0.0103	0.999
G2_3	3841	0.999	342.018	8.904%	65.723	5.148%	0.01187	0.999
G2_4	5042	1.0	329.706	6.539%	43.912	2.889%	0.00926	1.0
G2_5	2052	0.999	236.243	11.513%	34.076	5.353%	0.02732	0.998
G2_6	1947	0.997	239.557	12.304%	44.553	7.397%	0.023	0.997
G2_7	4061	0.999	290.372	7.15%	39.271	3.348%	0.01	0.999
G2_8	2227	0.998	247.124	11.097%	40.072	6.431%	0.01905	0.998
G2_9	4776	1.0	375.522	7.863%	51.988	3.236%	0.01144	0.999
G2_10	4032	0.999	259.898	6.446%	40.257	3.424%	0.01068	0.999
G2_11	4983	0.999	418.829	8.405%	63.164	5.022%	0.01005	0.998
G2_12	1364	0.997	196.832	14.43%	32.946	7.844%	0.04147	0.997
G2_13	2026	0.999	189.612	9.359%	28.388	4.621%	0.01976	0.999
G2_14	2157	0.999	221.427	10.266%	30.93	5.241%	0.01713	0.999
G2_15	2532	0.999	248.791	9.826%	36.913	4.337%	0.01906	0.999
G2_16	1865	0.999	173.473	9.302%	24.929	4.19%	0.01985	0.999
G2_17	2833	0.999	244.344	8.625%	41.974	4.128%	0.01345	0.999
G2_18	3536	0.999	246.575	6.973%	37.081	3.25%	0.0129	0.999
