Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
G1_1	15	3	1533	186	1769	264	435	97	151
G1_2	49	79	585	166	1684	0	342	321	0
G1_3	43	37	1136	0	821	0	635	0	0
G1_4	0	0	526	0	1280	104	0	340	111
G1_5	0	94	216	199	2259	273	1228	3	0
G1_6	33	34	298	425	862	0	379	0	0
G1_7	94	59	1641	953	1230	0	408	624	25
G1_8	0	0	703	477	2400	173	0	473	133
G1_9	0	0	137	0	809	60	104	101	76
G1_10	31	0	322	468	446	0	41	0	50
G1_11	0	0	449	0	540	73	0	173	47
G1_12	0	0	0	1372	2140	249	0	177	162
G1_13	19	37	246	0	1002	0	173	35	0
G1_14	3	23	193	550	642	59	0	0	0
G1_15	81	0	0	1262	2304	53	0	693	202
G1_16	25	27	518	0	805	0	0	293	0
G1_17	0	0	1427	1068	985	280	0	501	102
G1_18	48	0	59	1281	675	0	0	92	80
G1_19	0	0	906	521	771	65	33	196	71
G1_20	15	31	150	612	630	0	0	0	0
G1_21	0	0	422	0	1056	127	0	297	94
G1_22	43	26	51	972	621	0	185	0	0
G1_23	0	0	1101	0	2392	216	585	255	217
G2_1	368	0	0	191	18	202	182	1	25
G2_2	1943	0	408	39	97	1024	315	402	78
G2_3	2157	0	466	641	94	377	56	0	50
G2_4	2588	0	1033	215	129	0	88	917	72
G2_5	1056	2	204	512	43	0	235	0	0
G2_6	1023	14	428	0	43	0	439	0	0
G2_7	1937	30	302	992	86	127	115	472	0
G2_8	893	0	376	169	39	504	217	0	29
G2_9	2864	0	82	1390	95	0	63	207	75
G2_10	1939	26	357	549	94	324	369	374	0
G2_11	1308	0	1419	0	92	1693	102	297	72
G2_12	672	4	376	109	13	0	0	190	0
G2_13	1037	0	490	11	19	0	90	336	43
G2_14	926	2	175	365	23	319	82	235	30
G2_15	1426	0	312	517	23	233	0	0	21
G2_16	1032	23	270	83	71	93	293	0	0
G2_17	1834	0	384	340	18	0	0	222	35
G2_18	1945	0	566	465	29	142	191	155	43
G2_19	788	0	421	30	59	411	329	0	44
G2_20	1703	0	481	569	114	507	278	0	33
G2_21	1688	21	1229	0	104	206	171	955	0
G2_22	246	0	0	66	12	0	19	172	16
G2_23	1172	9	0	769	35	99	124	0	0
G2_24	651	0	386	0	27	380	0	2	10
G2_25	1373	0	368	362	33	309	0	257	30
G2_26	679	0	366	0	13	508	0	0	17
G2_27	1778	29	772	215	60	0	804	106	0
G2_28	1903	0	982	171	103	659	132	501	76
G2_29	2332	0	980	0	95	562	0	785	82
G2_30	2325	0	1224	0	54	1025	0	251	81
G2_31	299	0	205	0	0	292	0	0	8
G2_32	1196	16	708	0	53	179	102	377	0
G2_33	968	0	383	0	7	388	38	145	19
G2_34	443	0	376	14	0	210	28	121	29
G2_35	1315	0	711	0	55	196	99	362	36
G2_36	615	10	197	0	44	451	46	202	0
G2_37	780	0	379	219	23	702	42	0	17
G2_38	1272	0	431	597	53	479	0	191	49
G2_39	1435	0	607	395	83	320	0	542	42
G2_40	495	5	84	176	18	46	149	6	0
G2_41	670	2	343	0	56	506	150	0	14
G2_42	1767	0	533	0	121	866	291	54	63
G2_43	882	0	300	381	30	407	0	66	25
G2_44	1692	0	103	480	54	273	589	0	23
G2_45	2055	22	298	292	83	283	217	237	0
G2_46	791	11	0	621	25	0	109	22	0
G2_47	456	0	290	0	22	61	0	83	19
G2_48	1358	26	770	0	29	0	342	673	0
G2_49	1264	20	254	603	33	0	102	198	10
G2_50	2532	0	750	0	69	627	0	574	73
G2_51	1287	0	5	717	31	135	279	5	54
G2_52	1437	18	779	0	43	0	591	261	0
G2_53	604	0	357	0	24	41	57	195	29
G2_54	1688	0	933	0	81	971	109	0	32
G2_55	1056	0	509	492	60	266	78	184	57
G2_56	1708	0	403	471	69	1166	91	297	90
G2_57	1282	11	550	119	53	0	14	297	0
G2_58	1464	42	163	0	109	83	221	958	0
G2_59	460	0	297	0	22	84	5	226	19
G2_60	1489	0	376	855	36	500	0	0	29
G2_61	2348	24	919	702	93	0	486	330	0
G2_62	305	0	273	0	11	349	70	0	9
G2_63	699	9	285	0	26	0	308	0	0
G2_64	1912	21	223	599	67	10	666	0	6
G2_65	944	0	339	0	30	0	160	246	26
G2_66	3024	0	298	355	70	500	411	0	51
G2_67	942	0	422	140	65	422	121	425	46
G2_68	1812	0	976	0	77	560	256	144	66
G2_69	838	0	63	616	28	123	257	0	56
G2_70	1767	0	528	0	68	429	836	0	53
G2_71	870	18	367	246	39	0	311	108	0
G2_72	1396	25	595	81	41	0	698	218	0
G2_73	1093	0	192	0	49	504	459	100	26
G3_1	0	1144	613	0	16	102	59	186	61
G3_2	54	2791	678	1194	56	0	0	0	67
G3_3	7	387	232	0	8	0	103	0	0
G3_4	49	2621	88	1118	50	0	533	0	0
G3_5	10	1003	249	591	30	0	0	0	0
G3_6	0	444	325	0	19	46	46	0	164
G3_7	14	845	349	113	17	0	57	0	192
G3_8	28	1365	437	0	25	0	337	0	0
G3_9	11	2149	332	398	15	117	221	0	703
G3_10	44	1267	307	410	16	0	0	0	1350
G3_11	28	1816	984	0	74	132	0	274	1034
G3_12	32	3134	1413	0	40	0	187	0	0
G3_13	37	783	0	629	51	0	34	0	1216
G3_14	0	815	632	0	9	46	0	65	438
G3_15	38	1969	1124	517	57	0	0	0	188
G3_16	5	575	139	230	8	0	0	0	0
G3_17	6	479	0	540	18	0	0	93	162
G3_18	14	1580	739	0	35	0	210	0	0
G3_19	11	824	534	0	27	24	9	202	0
G3_20	42	2260	916	558	47	31	8	0	0
G3_21	19	589	141	179	16	0	209	0	0
G3_22	57	1322	379	1174	64	0	201	0	0
G3_23	26	1876	1332	0	6	0	173	0	0
G3_24	21	584	155	168	21	0	0	130	0
G3_25	35	3012	94	916	38	0	0	0	0
G3_26	2	461	0	135	7	0	50	36	0
G3_27	19	693	191	70	28	0	86	126	0
G3_28	22	1963	71	394	17	8	0	0	705
G3_29	0	1100	344	0	25	29	117	99	0
G3_30	44	3275	1260	0	78	0	390	0	0
G3_31	15	1802	870	51	35	0	167	0	0
