Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,65.76%,56.74%,82.46%,64.14%,81.86,0.3067,0.5557,0.229,0.33,0.743,0.613
2,0.98,0.98,NO,N/A,30.75%,20.52%,74.12%,15.64%,83.86,0.129,0.5514,0.056,0.34,0.936,0.603
3,1.0,1.0,YES,7.79e-25,10.07%,14.39%,37.27%,8.57%,28.6,0.0417,0.2212,0.004,0.026,0.996,0.97
4,0.64,-0.32,NO,N/A,7.59%,12.83%,40.86%,6.71%,30.09,0.0329,0.1224,0.003,0.023,0.997,0.981
5*,0.91,0.61,YES,Most Stab Sigs,4.05%,9.71%,26.37%,4.64%,14.88,0.0233,0.0961,0.002,0.011,0.998,0.987
6,0.65,-0.83,NO,N/A,4.16%,9.85%,26.33%,4.76%,14.7,0.0235,0.0969,0.002,0.011,0.998,0.987
7,0.59,-0.66,NO,N/A,3.97%,9.49%,25.64%,4.53%,14.07,0.0234,0.0949,0.001,0.01,0.998,0.989
8,0.32,-0.88,NO,N/A,3.94%,9.64%,25.29%,4.6%,13.7,0.0236,0.0914,0.001,0.009,0.998,0.989
9,0.26,-0.79,NO,N/A,3.83%,9.39%,26.52%,4.44%,14.58,0.0237,0.0999,0.001,0.011,0.998,0.988
10,0.22,-0.79,NO,N/A,3.87%,9.5%,24.1%,4.31%,13.11,0.0236,0.0868,0.001,0.008,0.999,0.99
