Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	1.0	298.167	6.696%	40.399	3.063%	0.00858	0.999
G1_2	3226	0.999	230.674	7.15%	31.817	3.68%	0.01402	0.999
G1_3	2672	0.997	307.246	11.499%	65.786	7.926%	0.01806	0.997
G1_4	2361	0.997	273.422	11.581%	47.425	7.506%	0.01848	0.997
G1_5	4272	0.998	423.836	9.921%	67.091	6.506%	0.0131	0.997
G1_6	2031	0.997	259.414	12.773%	44.952	7.966%	0.02283	0.996
G1_7	5034	0.999	338.415	6.723%	47.451	3.324%	0.00892	0.999
G1_8	4359	0.999	299.236	6.865%	44.783	3.748%	0.00841	0.999
G1_9	1287	0.996	198.471	15.421%	30.255	9.198%	0.04269	0.996
G1_10	1358	0.998	180.511	13.292%	24.718	6.054%	0.04255	0.998
G1_11	1282	0.994	226.421	17.662%	40.827	11.255%	0.0429	0.993
G1_12	4100	0.998	386.053	9.416%	63.169	5.939%	0.01195	0.998
G1_13	1512	0.998	196.831	13.018%	30.829	7.041%	0.03826	0.997
G1_14	1470	0.998	176.022	11.974%	26.782	6.241%	0.03125	0.998
G1_15	4595	0.999	336.071	7.314%	47.985	4.327%	0.00761	0.999
G1_16	1668	0.992	291.471	17.474%	59.0	12.348%	0.03957	0.991
G1_17	4363	0.999	427.87	9.807%	74.768	5.889%	0.01215	0.998
G1_18	2235	0.997	282.496	12.64%	47.184	7.943%	0.02185	0.996
G1_19	2563	0.999	211.525	8.253%	29.089	3.723%	0.01518	0.999
G1_20	1438	0.995	228.174	15.867%	40.864	9.584%	0.03234	0.995
G1_21	1996	0.996	255.502	12.801%	45.614	8.677%	0.02223	0.996
G1_22	1898	0.998	227.139	11.967%	33.596	6.609%	0.02278	0.997
G1_23	4766	0.999	351.838	7.382%	51.802	3.935%	0.00922	0.999
G2_1	987	0.994	170.452	17.27%	27.928	10.947%	0.04498	0.993
G2_2	4306	0.999	351.769	8.169%	46.546	3.747%	0.01159	0.999
G2_3	3841	0.999	349.117	9.089%	66.976	5.246%	0.01244	0.998
G2_4	5042	1.0	325.237	6.451%	44.475	2.926%	0.00907	1.0
G2_5	2052	0.999	229.677	11.193%	33.575	5.274%	0.02619	0.998
G2_6	1947	0.997	243.194	12.491%	45.476	7.551%	0.02348	0.997
G2_7	4061	0.999	284.052	6.995%	37.903	3.231%	0.00961	0.999
G2_8	2227	0.998	248.369	11.153%	39.468	6.334%	0.01879	0.998
G2_9	4776	1.0	364.671	7.635%	50.697	3.156%	0.01045	0.999
G2_10	4032	0.999	265.021	6.573%	40.201	3.419%	0.0105	0.999
G2_11	4983	0.999	410.399	8.236%	62.928	5.003%	0.00935	0.999
G2_12	1364	0.997	198.799	14.575%	33.707	8.025%	0.04127	0.996
G2_13	2026	0.999	187.596	9.259%	27.957	4.55%	0.0189	0.999
G2_14	2157	0.999	222.746	10.327%	31.118	5.273%	0.01818	0.999
G2_15	2532	0.999	253.726	10.021%	37.475	4.403%	0.01899	0.999
G2_16	1865	0.999	173.811	9.32%	24.953	4.195%	0.01949	0.999
G2_17	2833	0.999	247.364	8.732%	42.47	4.177%	0.01331	0.999
G2_18	3536	1.0	242.445	6.856%	35.787	3.136%	0.01233	0.999
G2_19	2082	0.998	246.319	11.831%	37.575	6.488%	0.02625	0.998
G2_20	3685	0.999	289.599	7.859%	41.051	3.726%	0.01178	0.999
G2_21	4374	0.999	391.84	8.958%	59.218	5.062%	0.01092	0.999
G2_22	531	0.989	140.026	26.37%	21.303	14.883%	0.09606	0.987
G2_23	2208	0.998	240.88	10.909%	39.913	5.814%	0.02302	0.998
G2_24	1456	0.997	226.489	15.556%	35.964	7.953%	0.03979	0.996
G2_25	2732	0.999	243.177	8.901%	37.602	4.439%	0.01471	0.999
G2_26	1583	0.997	238.165	15.045%	36.352	7.586%	0.03931	0.997
G2_27	3764	0.999	360.783	9.585%	58.992	5.351%	0.01532	0.998
G2_28	4527	0.999	317.244	7.008%	47.533	3.685%	0.00915	0.999
G2_29	4836	0.999	338.504	7.0%	64.069	4.427%	0.00821	0.999
G2_30	4960	0.999	361.438	7.287%	54.49	3.548%	0.00959	0.999
G2_31	804	0.996	153.701	19.117%	22.368	9.802%	0.05616	0.995
G2_32	2631	0.999	257.196	9.776%	39.443	5.101%	0.01865	0.999
G2_33	1948	0.999	190.031	9.755%	30.193	4.939%	0.02087	0.999
G2_34	1221	0.997	179.843	14.729%	26.455	7.992%	0.03629	0.997
G2_35	2774	0.999	248.806	8.969%	37.838	4.551%	0.01559	0.999
G2_36	1565	0.997	234.176	14.963%	32.438	7.556%	0.0334	0.997
G2_37	2162	0.998	249.675	11.548%	39.085	6.522%	0.02062	0.998
G2_38	3072	0.999	275.978	8.984%	41.111	4.722%	0.01671	0.999
G2_39	3424	0.998	370.181	10.811%	59.21	6.312%	0.01574	0.998
G2_40	979	0.998	147.572	15.074%	21.284	7.018%	0.04743	0.997
G2_41	1741	0.999	176.846	10.158%	23.515	4.758%	0.02307	0.999
G2_42	3695	0.999	281.704	7.624%	44.427	3.931%	0.01097	0.999
G2_43	2091	0.998	259.35	12.403%	38.751	6.333%	0.02798	0.998
G2_44	3214	0.999	316.358	9.843%	48.443	4.838%	0.01311	0.999
G2_45	3487	0.999	300.009	8.604%	50.919	4.363%	0.01123	0.999
G2_46	1579	0.997	218.244	13.822%	35.71	7.699%	0.0306	0.997
G2_47	931	0.995	162.87	17.494%	29.077	9.98%	0.06416	0.994
G2_48	3198	0.997	345.444	10.802%	63.008	7.215%	0.01281	0.997
G2_49	2484	0.999	224.031	9.019%	32.703	4.394%	0.01547	0.999
G2_50	4625	0.999	311.853	6.743%	53.962	3.601%	0.0064	0.999
G2_51	2513	0.998	287.241	11.43%	42.167	5.525%	0.0201	0.998
G2_52	3129	0.998	302.498	9.668%	50.799	5.615%	0.01471	0.998
G2_53	1307	0.997	184.241	14.096%	27.239	7.11%	0.03942	0.997
G2_54	3814	0.999	319.782	8.384%	55.263	4.677%	0.01024	0.999
G2_55	2702	0.999	260.055	9.625%	34.316	4.543%	0.01944	0.999
G2_56	4295	0.999	321.26	7.48%	48.261	4.068%	0.01023	0.999
G2_57	2326	0.999	244.281	10.502%	34.576	4.61%	0.025	0.999
G2_58	3040	0.998	316.992	10.427%	59.273	7.044%	0.02382	0.997
G2_59	1113	0.997	156.531	14.064%	23.769	7.753%	0.03734	0.997
G2_60	3285	0.998	361.27	10.998%	58.147	5.885%	0.02057	0.998
G2_61	4902	0.999	344.125	7.02%	50.882	3.494%	0.0086	0.999
G2_62	1017	0.996	155.033	15.244%	24.522	8.983%	0.03566	0.995
G2_63	1327	0.996	207.626	15.646%	36.399	8.534%	0.04214	0.996
G2_64	3504	0.999	346.746	9.896%	53.713	4.846%	0.0129	0.999
G2_65	1745	0.998	212.661	12.187%	31.363	5.779%	0.02604	0.998
G2_66	4709	0.999	366.075	7.774%	75.814	4.436%	0.00801	0.999
G2_67	2583	0.998	254.956	9.871%	37.303	5.656%	0.01791	0.998
G2_68	3891	0.999	324.528	8.34%	47.533	4.041%	0.0133	0.999
G2_69	1981	0.999	198.049	9.997%	29.076	5.328%	0.01976	0.998
G2_70	3681	0.999	374.019	10.161%	59.859	5.462%	0.01391	0.998
G2_71	1959	0.998	239.513	12.226%	36.831	6.678%	0.02459	0.998
G2_72	3054	0.998	338.895	11.097%	55.851	6.498%	0.01844	0.998
G2_73	2423	0.999	253.717	10.471%	35.5	5.103%	0.01441	0.999
G3_1	2181	0.999	206.896	9.486%	29.861	3.534%	0.02595	0.999
G3_2	4840	1.0	270.824	5.596%	43.695	2.183%	0.01041	1.0
G3_3	737	0.999	100.461	13.631%	13.092	4.537%	0.05673	0.999
G3_4	4459	1.0	336.807	7.553%	55.261	3.088%	0.01025	0.999
G3_5	1883	0.999	221.729	11.775%	40.163	5.356%	0.03161	0.998
G3_6	1044	0.998	150.668	14.432%	23.893	6.041%	0.05059	0.998
G3_7	1587	0.999	178.499	11.248%	28.186	4.26%	0.0388	0.999
G3_8	2192	0.999	198.648	9.062%	30.995	3.284%	0.02506	0.999
G3_9	3946	1.0	272.565	6.907%	41.723	2.478%	0.012	1.0
G3_10	3394	0.999	253.67	7.474%	46.182	3.43%	0.01068	0.999
G3_11	4342	0.999	336.353	7.746%	55.129	3.355%	0.01192	0.999
G3_12	4806	1.0	323.633	6.734%	70.111	3.144%	0.01801	0.999
G3_13	2750	0.999	260.414	9.47%	43.496	4.48%	0.01581	0.999
G3_14	2005	0.999	167.591	8.359%	28.976	3.735%	0.02076	0.999
G3_15	3893	1.0	224.282	5.761%	31.271	2.022%	0.00979	1.0
G3_16	957	0.999	118.557	12.388%	18.939	4.639%	0.05475	0.999
G3_17	1298	0.996	222.793	17.164%	37.564	8.845%	0.04744	0.996
G3_18	2578	1.0	186.401	7.23%	33.64	2.997%	0.01675	1.0
G3_19	1631	0.999	178.563	10.948%	26.874	4.463%	0.02716	0.999
G3_20	3862	1.0	217.424	5.63%	31.571	1.948%	0.01078	1.0
G3_21	1153	0.998	167.037	14.487%	24.173	5.721%	0.05069	0.998
G3_22	3197	0.999	319.85	10.005%	55.376	5.15%	0.01632	0.999
G3_23	3413	1.0	232.952	6.825%	40.322	2.832%	0.01669	1.0
G3_24	1079	0.999	132.591	12.288%	18.386	4.442%	0.04066	0.999
G3_25	4095	1.0	226.686	5.536%	43.941	2.209%	0.0071	1.0
G3_26	691	0.999	102.871	14.887%	15.076	5.02%	0.05718	0.999
G3_27	1213	0.999	164.679	13.576%	22.286	4.671%	0.05105	0.999
G3_28	3180	1.0	187.316	5.89%	31.578	2.098%	0.00916	1.0
G3_29	1714	0.999	162.022	9.453%	24.307	3.283%	0.02449	0.999
G3_30	5047	1.0	298.524	5.915%	49.35	2.185%	0.00962	1.0
G3_31	2940	1.0	229.95	7.821%	39.018	3.061%	0.01856	1.0
G3_32	683	0.998	112.096	16.412%	16.806	5.559%	0.07438	0.998
G3_33	2164	1.0	163.206	7.542%	23.385	2.422%	0.02229	1.0
G3_34	4961	1.0	254.642	5.133%	41.453	1.895%	0.00722	1.0
G3_35	1992	1.0	179.759	9.024%	26.035	3.132%	0.0261	0.999
G3_36	659	0.999	99.936	15.165%	14.074	5.283%	0.07397	0.999
G3_37	3844	1.0	236.377	6.149%	39.798	2.51%	0.01225	1.0
G3_38	2100	1.0	167.834	7.992%	23.731	2.922%	0.01678	1.0
