Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	1.0	301.121	6.762%	40.108	3.041%	0.00909	0.999
G1_2	3226	0.999	239.26	7.417%	31.621	3.658%	0.01415	0.999
G1_3	2672	0.997	333.501	12.481%	63.985	7.709%	0.01996	0.997
G1_4	2361	0.998	286.236	12.124%	38.13	6.035%	0.02404	0.998
G1_5	4272	0.998	407.963	9.55%	61.003	5.915%	0.01173	0.998
G1_6	2031	0.997	259.632	12.783%	43.407	7.692%	0.02262	0.997
G1_7	5034	0.999	344.477	6.843%	47.318	3.314%	0.00926	0.999
G1_8	4359	0.999	279.558	6.413%	39.988	3.347%	0.00782	0.999
G1_9	1287	0.996	187.697	14.584%	29.469	8.959%	0.04015	0.996
G1_10	1358	0.998	178.909	13.174%	24.416	5.98%	0.04188	0.998
G1_11	1282	0.994	232.187	18.111%	38.833	10.705%	0.04675	0.993
G1_12	4100	0.999	367.01	8.951%	56.528	5.314%	0.01105	0.998
G1_13	1512	0.998	185.797	12.288%	27.848	6.36%	0.0279	0.998
G1_14	1470	0.998	164.658	11.201%	24.69	5.754%	0.02797	0.998
G1_15	4595	0.999	349.584	7.608%	47.611	4.294%	0.00821	0.999
G1_16	1668	0.995	273.901	16.421%	52.152	10.915%	0.03629	0.994
G1_17	4363	0.999	417.598	9.571%	66.408	5.23%	0.01368	0.999
G1_18	2235	0.997	284.289	12.72%	42.915	7.225%	0.02421	0.997
G1_19	2563	0.999	204.21	7.968%	27.883	3.569%	0.01519	0.999
G1_20	1438	0.996	221.447	15.4%	39.17	9.187%	0.0328	0.995
G1_21	1996	0.997	248.227	12.436%	41.378	7.871%	0.02329	0.996
G1_22	1898	0.998	220.279	11.606%	32.218	6.338%	0.0225	0.998
G1_23	4766	0.999	340.135	7.137%	44.75	3.399%	0.00896	0.999
G2_1	987	0.994	172.634	17.491%	27.819	10.904%	0.04623	0.993
G2_2	4306	0.999	331.128	7.69%	45.409	3.656%	0.01078	0.999
G2_3	3841	0.999	353.91	9.214%	65.964	5.167%	0.01232	0.999
G2_4	5042	1.0	310.763	6.163%	40.011	2.632%	0.00962	1.0
G2_5	2052	0.999	217.206	10.585%	29.428	4.623%	0.02596	0.999
G2_6	1947	0.998	230.715	11.85%	42.236	7.013%	0.02238	0.997
G2_7	4061	1.0	275.539	6.785%	36.087	3.076%	0.00976	0.999
G2_8	2227	0.998	236.201	10.606%	37.716	6.053%	0.01842	0.998
G2_9	4776	1.0	340.762	7.135%	46.876	2.918%	0.01037	1.0
G2_10	4032	0.999	266.557	6.611%	38.346	3.261%	0.00963	0.999
G2_11	4983	0.999	387.814	7.783%	54.049	4.297%	0.01067	0.999
G2_12	1364	0.997	204.953	15.026%	30.901	7.357%	0.04716	0.997
G2_13	2026	0.999	167.613	8.273%	25.346	4.125%	0.01911	0.999
G2_14	2157	0.999	191.326	8.87%	26.538	4.497%	0.01392	0.999
G2_15	2532	0.999	251.036	9.915%	34.286	4.029%	0.02102	0.999
G2_16	1865	0.999	172.036	9.224%	23.347	3.925%	0.02151	0.999
G2_17	2833	0.999	232.638	8.212%	35.967	3.537%	0.01355	0.999
G2_18	3536	1.0	230.015	6.505%	34.058	2.985%	0.01163	1.0
G2_19	2082	0.998	240.746	11.563%	36.644	6.327%	0.02627	0.998
G2_20	3685	0.999	281.929	7.651%	37.855	3.435%	0.01147	0.999
G2_21	4374	0.999	305.167	6.977%	41.594	3.556%	0.0085	0.999
G2_22	531	0.992	127.976	24.101%	18.763	13.109%	0.0868	0.99
G2_23	2208	0.999	246.431	11.161%	37.575	5.474%	0.02374	0.998
G2_24	1456	0.997	211.348	14.516%	33.835	7.483%	0.03674	0.997
G2_25	2732	0.999	235.21	8.609%	34.866	4.116%	0.01442	0.999
G2_26	1583	0.997	231.609	14.631%	34.55	7.21%	0.04044	0.997
G2_27	3764	0.999	330.892	8.791%	52.995	4.807%	0.01429	0.999
G2_28	4527	1.0	302.894	6.691%	41.751	3.236%	0.0103	0.999
G2_29	4836	0.999	305.175	6.31%	54.959	3.798%	0.00757	0.999
G2_30	4960	1.0	294.255	5.933%	40.338	2.627%	0.00886	1.0
G2_31	804	0.996	146.466	18.217%	20.833	9.13%	0.05346	0.996
G2_32	2631	0.999	245.911	9.347%	33.288	4.305%	0.017	0.999
G2_33	1948	0.999	183.763	9.433%	25.412	4.157%	0.019	0.999
G2_34	1221	0.997	174.783	14.315%	25.77	7.785%	0.03808	0.997
G2_35	2774	0.999	246.652	8.892%	33.881	4.075%	0.01575	0.999
G2_36	1565	0.998	218.298	13.949%	29.836	6.95%	0.03037	0.997
G2_37	2162	0.998	252.264	11.668%	37.796	6.307%	0.02132	0.998
G2_38	3072	0.999	263.956	8.592%	37.522	4.31%	0.01459	0.999
G2_39	3424	0.998	348.085	10.166%	54.214	5.78%	0.01482	0.998
G2_40	979	0.998	138.118	14.108%	19.129	6.307%	0.04452	0.998
G2_41	1741	0.999	170.813	9.811%	22.205	4.492%	0.02123	0.999
G2_42	3695	0.999	287.027	7.768%	42.21	3.735%	0.01203	0.999
G2_43	2091	0.998	244.838	11.709%	36.678	5.994%	0.02529	0.998
G2_44	3214	0.999	295.92	9.207%	46.114	4.605%	0.01411	0.999
G2_45	3487	0.999	285.428	8.185%	48.443	4.151%	0.00975	0.999
G2_46	1579	0.998	204.039	12.922%	30.905	6.663%	0.02973	0.998
G2_47	931	0.996	152.074	16.334%	25.769	8.845%	0.05825	0.996
G2_48	3198	0.998	352.08	11.009%	56.649	6.487%	0.01492	0.998
G2_49	2484	0.999	213.167	8.582%	30.841	4.144%	0.01529	0.999
G2_50	4625	1.0	285.993	6.184%	47.311	3.157%	0.00731	0.999
G2_51	2513	0.999	263.285	10.477%	38.4	5.032%	0.01795	0.999
G2_52	3129	0.999	287.051	9.174%	45.074	4.982%	0.01401	0.999
G2_53	1307	0.998	183.369	14.03%	26.322	6.87%	0.0381	0.997
G2_54	3814	0.999	297.441	7.799%	47.246	3.998%	0.00973	0.999
G2_55	2702	0.999	257.846	9.543%	34.692	4.593%	0.01911	0.999
G2_56	4295	0.999	303.373	7.063%	43.321	3.652%	0.0098	0.999
G2_57	2326	0.999	226.059	9.719%	32.195	4.292%	0.02303	0.999
G2_58	3040	0.999	254.864	8.384%	45.489	5.406%	0.00969	0.998
G2_59	1113	0.998	137.554	12.359%	20.18	6.582%	0.03491	0.997
G2_60	3285	0.998	378.166	11.512%	54.844	5.551%	0.02404	0.998
G2_61	4902	1.0	324.558	6.621%	42.875	2.944%	0.00938	1.0
G2_62	1017	0.997	148.992	14.65%	21.428	7.85%	0.03962	0.997
G2_63	1327	0.997	214.514	16.165%	35.443	8.309%	0.04567	0.996
G2_64	3504	0.999	306.575	8.749%	47.517	4.287%	0.01242	0.999
G2_65	1745	0.999	202.378	11.598%	28.489	5.249%	0.02571	0.998
G2_66	4709	0.999	376.473	7.995%	78.211	4.577%	0.00854	0.999
G2_67	2583	0.999	245.469	9.503%	33.892	5.138%	0.01818	0.998
G2_68	3891	0.999	331.44	8.518%	46.015	3.912%	0.01385	0.999
G2_69	1981	0.999	193.18	9.752%	28.36	5.197%	0.01972	0.998
G2_70	3681	0.999	344.459	9.358%	56.648	5.169%	0.01322	0.998
G2_71	1959	0.998	243.754	12.443%	35.132	6.37%	0.02707	0.998
G2_72	3054	0.998	332.22	10.878%	51.102	5.946%	0.01879	0.998
G2_73	2423	0.999	225.093	9.29%	31.782	4.569%	0.01425	0.999
G3_1	2181	0.999	231.078	10.595%	32.025	3.79%	0.03338	0.999
G3_2	4840	1.0	327.099	6.758%	48.269	2.411%	0.01395	1.0
G3_3	737	0.999	99.627	13.518%	13.82	4.789%	0.05499	0.999
G3_4	4459	1.0	288.149	6.462%	44.211	2.47%	0.00755	1.0
G3_5	1883	0.999	210.442	11.176%	36.486	4.866%	0.03172	0.999
