NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	269.752	11.257	46.004	5.916	0.025	0.998	10000.0
2	268.96	11.242	46.428	5.973	0.025	0.998	10000.0
3	268.924	11.218	46.357	5.933	0.025	0.998	10000.0
4	272.723	11.334	47.257	6.044	0.026	0.998	10000.0
5	271.071	11.243	46.874	5.973	0.025	0.998	10000.0
6	271.222	11.29	46.923	6.003	0.025	0.998	10000.0
7	268.12	11.155	45.753	5.868	0.025	0.998	10000.0
8	271.815	11.242	47.43	5.977	0.025	0.998	10000.0
9	270.578	11.286	46.296	5.922	0.025	0.998	10000.0
10	267.679	11.161	45.638	5.836	0.025	0.998	10000.0
