Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
G1_1	1.30E+01	1.37E+01	1.17E+02	1.43E+02	5.00E+01	9.92E+01	5.40E+01	2.60E+01
G1_2	8.79E+00	1.18E+01	8.75E+01	1.03E+02	5.49E+01	8.46E+01	3.97E+01	4.60E+01
G1_3	4.88E+00	6.83E+00	7.91E+01	9.96E+01	2.77E+01	6.39E+01	2.27E+01	2.67E+01
G1_4	4.42E+00	6.24E+00	7.16E+01	4.20E+01	4.94E+01	5.32E+01	3.77E+01	2.52E+01
G1_5	1.18E+01	1.65E+01	1.00E+02	9.59E+01	7.14E+01	8.29E+01	5.00E+01	4.56E+01
G1_6	5.26E+00	6.29E+00	4.63E+01	6.24E+01	3.66E+01	4.07E+01	1.91E+01	1.95E+01
G1_7	1.51E+01	1.15E+01	1.29E+02	1.46E+02	4.85E+01	1.62E+02	4.18E+01	5.98E+01
G1_8	1.28E+01	1.10E+01	1.12E+02	1.16E+02	7.57E+01	8.04E+01	4.15E+01	3.09E+01
G1_9	2.24E+00	6.93E+00	2.80E+01	2.64E+01	3.06E+01	2.03E+01	1.94E+01	2.13E+01
G1_10	5.53E+00	3.92E+00	4.29E+01	6.08E+01	2.36E+01	3.47E+01	1.38E+01	1.81E+01
G1_11	2.85E+00	3.35E+00	5.36E+01	6.70E+01	2.22E+01	3.58E+01	2.03E+01	2.05E+01
G1_12	1.27E+01	1.36E+01	1.10E+02	8.72E+01	6.30E+01	4.35E+01	3.29E+01	3.16E+01
G1_13	4.43E+00	7.10E+00	5.07E+01	3.02E+01	3.38E+01	3.56E+01	1.49E+01	1.17E+01
G1_14	3.78E+00	3.76E+00	6.31E+01	8.39E+01	1.93E+01	2.88E+01	2.03E+01	1.75E+01
G1_15	1.44E+01	1.59E+01	8.97E+01	1.24E+02	6.57E+01	8.72E+01	6.04E+01	7.17E+01
G1_16	3.89E+00	2.91E+00	6.36E+01	6.03E+01	3.75E+01	5.62E+01	2.40E+01	2.53E+01
G1_17	6.60E+00	7.78E+00	7.22E+01	1.24E+02	4.08E+01	6.44E+01	3.17E+01	3.97E+01
G1_18	6.52E+00	7.13E+00	5.15E+01	6.89E+01	2.34E+01	2.73E+01	4.05E+01	3.15E+01
G1_19	2.48E+00	5.10E+00	9.23E+01	1.03E+02	3.57E+01	7.09E+01	3.61E+01	3.37E+01
G1_20	2.76E+00	5.70E+00	3.83E+01	4.31E+01	2.13E+01	3.37E+01	2.12E+01	1.30E+01
G1_21	5.30E+00	6.51E+00	6.69E+01	3.91E+01	3.77E+01	4.45E+01	2.56E+01	1.57E+01
G1_22	6.32E+00	5.65E+00	6.29E+01	9.09E+01	2.83E+01	7.18E+01	2.85E+01	3.18E+01
G1_23	1.01E+01	1.54E+01	9.83E+01	1.43E+02	9.30E+01	9.09E+01	5.44E+01	6.82E+01
G2_1	5.05E+01	2.86E+00	2.04E+01	3.88E+01	3.76E+00	3.83E+01	2.51E+01	2.22E+01
G2_2	1.68E+02	7.25E+00	5.40E+01	1.70E+02	1.10E+01	9.47E+01	7.35E+01	8.84E+01
G2_3	2.55E+02	3.06E+00	7.27E+01	2.81E+02	7.68E+00	7.07E+01	4.05E+01	1.97E+01
G2_4	3.25E+02	5.58E+00	6.31E+01	3.20E+02	1.20E+01	8.11E+01	5.64E+01	5.31E+01
G2_5	1.35E+02	1.43E+00	5.85E+01	1.48E+02	5.37E+00	6.99E+01	3.05E+01	2.18E+01
G2_6	1.12E+02	2.69E+00	3.23E+01	1.02E+02	3.53E+00	2.67E+01	2.68E+01	2.71E+01
G2_7	1.97E+02	6.19E+00	8.35E+01	2.02E+02	5.32E+00	7.06E+01	4.29E+01	4.25E+01
G2_8	1.22E+02	2.83E+00	3.68E+01	1.11E+02	6.22E+00	3.73E+01	3.35E+01	3.45E+01
G2_9	3.15E+02	7.04E+00	4.70E+01	3.52E+02	4.64E+00	6.45E+01	4.44E+01	3.22E+01
G2_10	1.71E+02	4.58E+00	8.04E+01	1.56E+02	7.03E+00	6.77E+01	2.89E+01	6.27E+01
G2_11	1.75E+02	6.01E+00	8.58E+01	1.33E+02	1.10E+01	8.34E+01	9.39E+01	1.12E+02
G2_12	7.58E+01	1.08E+00	4.33E+01	9.19E+01	3.28E+00	2.02E+01	1.86E+01	7.64E+00
G2_13	1.24E+02	2.94E+00	4.08E+01	1.33E+02	3.35E+00	3.35E+01	2.81E+01	1.97E+01
G2_14	1.02E+02	2.42E+00	4.66E+01	8.29E+01	2.92E+00	6.31E+01	5.23E+01	4.09E+01
G2_15	1.59E+02	1.76E+00	3.48E+01	1.71E+02	5.50E+00	3.84E+01	3.17E+01	2.68E+01
G2_16	1.05E+02	4.08E+00	4.05E+01	1.28E+02	7.92E+00	3.97E+01	1.97E+01	1.37E+01
G2_17	1.85E+02	3.20E+00	2.98E+01	2.11E+02	3.71E+00	3.74E+01	2.09E+01	1.92E+01
G2_18	2.55E+02	4.84E+00	4.51E+01	2.67E+02	2.61E+00	2.57E+01	2.73E+01	4.13E+01
G2_19	1.19E+02	3.23E+00	5.46E+01	1.28E+02	5.94E+00	3.45E+01	3.65E+01	2.59E+01
G2_20	1.89E+02	3.14E+00	5.15E+01	1.58E+02	1.20E+01	6.08E+01	3.34E+01	4.52E+01
G2_21	1.56E+02	4.37E+00	9.20E+01	1.40E+02	9.01E+00	1.06E+02	7.53E+01	7.34E+01
