NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	267.896	11.177	45.86	5.894	0.024	0.998	10000.0
2	267.379	11.144	46.356	5.955	0.024	0.998	10000.0
3	266.645	11.151	45.801	5.896	0.025	0.998	10000.0
4	272.95	11.321	47.758	6.072	0.026	0.998	10000.0
5	270.656	11.25	47.033	6.012	0.025	0.998	10000.0
6	270.021	11.24	46.85	6.005	0.025	0.998	10000.0
7	267.063	11.11	45.779	5.887	0.024	0.998	10000.0
8	269.155	11.141	46.475	5.878	0.025	0.998	10000.0
9	269.373	11.2	46.428	5.899	0.025	0.998	10000.0
10	265.69	11.098	45.053	5.805	6.647	0.998	10000.0
