Samples	SBS96A
G1_1	4453
G1_2	3226
G1_3	2672
G1_4	2361
G1_5	4272
G1_6	2031
G1_7	5034
G1_8	4359
G1_9	1287
G1_10	1358
G1_11	1282
G1_12	4100
G1_13	1512
G1_14	1470
G1_15	4595
G1_16	1668
G1_17	4363
G1_18	2235
G1_19	2563
G1_20	1438
G1_21	1996
G1_22	1898
G1_23	4766
G2_1	987
G2_2	4306
G2_3	3841
G2_4	5042
G2_5	2052
G2_6	1947
G2_7	4061
G2_8	2227
G2_9	4776
G2_10	4032
G2_11	4983
G2_12	1364
G2_13	2026
G2_14	2157
G2_15	2532
G2_16	1865
G2_17	2833
G2_18	3536
G2_19	2082
G2_20	3685
G2_21	4374
G2_22	531
G2_23	2208
G2_24	1456
G2_25	2732
G2_26	1583
G2_27	3764
G2_28	4527
G2_29	4836
G2_30	4960
G2_31	804
G2_32	2631
G2_33	1948
G2_34	1221
G2_35	2774
G2_36	1565
G2_37	2162
G2_38	3072
G2_39	3424
G2_40	979
G2_41	1741
G2_42	3695
G2_43	2091
G2_44	3214
G2_45	3487
G2_46	1579
G2_47	931
G2_48	3198
G2_49	2484
G2_50	4625
G2_51	2513
G2_52	3129
G2_53	1307
G2_54	3814
G2_55	2702
G2_56	4295
G2_57	2326
G2_58	3040
G2_59	1113
G2_60	3285
G2_61	4902
G2_62	1017
G2_63	1327
G2_64	3504
G2_65	1745
G2_66	4709
G2_67	2583
G2_68	3891
G2_69	1981
G2_70	3681
G2_71	1959
G2_72	3054
G2_73	2423
G3_1	2181
G3_2	4840
G3_3	737
G3_4	4459
G3_5	1883
G3_6	1044
G3_7	1587
G3_8	2192
G3_9	3946
G3_10	3394
G3_11	4342
G3_12	4806
G3_13	2750
G3_14	2005
G3_15	3893
G3_16	957
G3_17	1298
G3_18	2578
G3_19	1631
G3_20	3862
G3_21	1153
G3_22	3197
G3_23	3413
G3_24	1079
G3_25	4095
G3_26	691
G3_27	1213
G3_28	3180
G3_29	1714
G3_30	5047
G3_31	2940
G3_32	683
G3_33	2164
G3_34	4961
G3_35	1992
G3_36	659
G3_37	3844
G3_38	2100
G3_39	3055
G3_40	4104
G3_41	4147
G3_42	2484
G3_43	4102
G3_44	2424
G3_45	1273
G3_46	1583
G3_47	1494
G3_48	1440
G3_49	2810
G3_50	2946
G3_51	3774
G3_52	1839
G3_53	1326
G3_54	871
G3_55	4792
