Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	0.709	2979.751	66.916%	955.42	72.44%	0.38151	0.664
G1_2	3226	0.699	2065.193	64.017%	658.963	76.224%	0.41138	0.646
G1_3	2672	0.704	1835.899	68.709%	599.226	72.194%	0.37909	0.661
G1_4	2361	0.688	1554.814	65.854%	490.616	77.653%	0.44056	0.633
G1_5	4272	0.689	2631.22	61.592%	844.244	81.863%	0.41629	0.627
G1_6	2031	0.703	1360.78	67.0%	421.326	74.666%	0.39805	0.653
G1_7	5034	0.72	3231.073	64.185%	1028.141	72.018%	0.32489	0.674
G1_8	4359	0.681	2874.069	65.934%	929.802	77.813%	0.45295	0.626
G1_9	1287	0.674	871.069	67.682%	266.983	81.166%	0.49549	0.613
G1_10	1358	0.715	965.145	71.071%	291.443	71.383%	0.39157	0.672
G1_11	1282	0.698	903.502	70.476%	271.379	74.812%	0.42727	0.648
G1_12	4100	0.693	2604.358	63.521%	831.988	78.219%	0.41488	0.636
G1_13	1512	0.67	1109.938	73.409%	339.306	77.492%	0.53436	0.617
G1_14	1470	0.699	1043.834	71.009%	317.134	73.902%	0.43148	0.652
G1_15	4595	0.703	2783.533	60.577%	888.213	80.098%	0.38347	0.643
G1_16	1668	0.692	1165.739	69.888%	358.989	75.133%	0.43727	0.643
G1_17	4363	0.714	2888.101	66.195%	916.688	72.197%	0.34165	0.668
G1_18	2235	0.723	1416.941	63.398%	436.306	73.451%	0.33221	0.673
G1_19	2563	0.701	1793.85	69.99%	569.128	72.846%	0.39551	0.657
G1_20	1438	0.7	1037.017	72.115%	312.927	73.396%	0.4371	0.654
G1_21	1996	0.693	1309.624	65.612%	408.237	77.653%	0.42814	0.637
G1_22	1898	0.719	1247.868	65.746%	374.966	73.759%	0.35146	0.669
G1_23	4766	0.696	3102.372	65.094%	996.971	75.727%	0.41816	0.644
G2_1	987	0.787	558.583	56.594%	166.506	65.266%	0.2478	0.748
G2_2	4306	0.734	2654.762	61.653%	867.062	69.806%	0.27237	0.692
G2_3	3841	0.763	2048.078	53.321%	824.941	64.621%	0.25878	0.734
G2_4	5042	0.787	2432.856	48.252%	944.403	62.128%	0.22331	0.755
G2_5	2052	0.797	1034.896	50.434%	385.54	60.564%	0.25106	0.768
G2_6	1947	0.798	923.797	47.447%	364.079	60.449%	0.22586	0.769
G2_7	4061	0.793	1969.159	48.49%	723.86	61.705%	0.21209	0.761
G2_8	2227	0.805	1047.34	47.029%	377.409	60.568%	0.21294	0.772
G2_9	4776	0.746	2711.984	56.784%	1069.803	66.598%	0.27469	0.716
G2_10	4032	0.772	2130.523	52.84%	759.341	64.585%	0.23225	0.736
G2_11	4983	0.85	1847.095	37.068%	697.006	55.412%	0.17052	0.822
G2_12	1364	0.813	642.175	47.08%	244.746	58.271%	0.24418	0.787
G2_13	2026	0.796	1006.459	49.677%	373.639	60.816%	0.23117	0.766
G2_14	2157	0.781	1159.283	53.745%	380.76	64.518%	0.23764	0.744
G2_15	2532	0.766	1434.448	56.653%	547.61	64.343%	0.28495	0.738
G2_16	1865	0.771	997.408	53.48%	379.57	63.804%	0.24406	0.741
G2_17	2833	0.732	1809.38	63.868%	692.845	68.139%	0.32862	0.704
G2_18	3536	0.777	1817.514	51.4%	718.772	62.991%	0.25527	0.748
G2_19	2082	0.825	908.537	43.638%	332.592	57.425%	0.19517	0.796
G2_20	3685	0.796	1697.924	46.077%	670.596	60.859%	0.21578	0.766
G2_21	4374	0.835	1763.557	40.319%	661.669	56.563%	0.18408	0.806
G2_22	531	0.717	384.818	72.47%	105.522	73.723%	0.36264	0.668
G2_23	2208	0.77	1187.215	53.769%	440.27	64.136%	0.25251	0.738
G2_24	1456	0.793	739.193	50.769%	276.272	61.098%	0.26842	0.764
G2_25	2732	0.769	1440.832	52.739%	544.16	64.244%	0.25434	0.737
G2_26	1583	0.782	837.731	52.92%	300.722	62.756%	0.25429	0.75
G2_27	3764	0.819	1609.236	42.753%	636.447	57.735%	0.20024	0.791
G2_28	4527	0.811	2009.626	44.392%	764.934	59.296%	0.19699	0.78
G2_29	4836	0.774	2480.619	51.295%	925.398	63.943%	0.23229	0.74
G2_30	4960	0.79	2368.254	47.747%	944.303	61.49%	0.22824	0.761
G2_31	804	0.802	420.749	52.332%	138.491	60.69%	0.26385	0.77
G2_32	2631	0.812	1194.647	45.407%	454.018	58.716%	0.21442	0.784
G2_33	1948	0.756	1122.08	57.602%	402.315	65.806%	0.27975	0.722
G2_34	1221	0.844	497.33	40.731%	181.438	54.814%	0.20482	0.816
G2_35	2774	0.803	1270.444	45.798%	498.123	59.906%	0.21628	0.774
G2_36	1565	0.751	976.327	62.385%	294.898	68.695%	0.27561	0.709
G2_37	2162	0.806	1028.29	47.562%	362.536	60.494%	0.21663	0.774
G2_38	3072	0.815	1373.8	44.72%	511.719	58.777%	0.20541	0.785
G2_39	3424	0.811	1576.723	46.049%	562.12	59.926%	0.20339	0.779
G2_40	979	0.781	549.642	56.143%	189.967	62.634%	0.27574	0.751
G2_41	1741	0.8	840.989	48.305%	301.382	60.975%	0.21706	0.768
G2_42	3695	0.755	2028.695	54.904%	748.304	66.206%	0.24677	0.719
G2_43	2091	0.805	996.06	47.636%	366.265	59.855%	0.22861	0.775
G2_44	3214	0.742	1893.454	58.913%	676.879	67.594%	0.27663	0.706
G2_45	3487	0.72	2165.919	62.114%	812.761	69.638%	0.3033	0.685
G2_46	1579	0.797	814.044	51.554%	282.619	60.933%	0.23081	0.766
G2_47	931	0.815	474.126	50.927%	169.057	58.025%	0.26911	0.79
G2_48	3198	0.82	1453.425	45.448%	511.724	58.595%	0.19755	0.789
G2_49	2484	0.799	1187.194	47.794%	450.361	60.514%	0.2143	0.769
G2_50	4625	0.732	2713.211	58.664%	1025.079	68.407%	0.28266	0.697
G2_51	2513	0.773	1373.425	54.653%	487.709	63.906%	0.24565	0.74
G2_52	3129	0.82	1342.45	42.903%	522.301	57.729%	0.20321	0.792
G2_53	1307	0.819	602.839	46.124%	221.043	57.695%	0.21892	0.791
G2_54	3814	0.794	1775.754	46.559%	719.505	60.889%	0.22496	0.766
G2_55	2702	0.843	1049.107	38.827%	411.205	54.437%	0.17957	0.817
G2_56	4295	0.775	2328.116	54.205%	772.87	65.153%	0.22562	0.737
G2_57	2326	0.785	1231.633	52.951%	464.938	61.983%	0.25732	0.757
G2_58	3040	0.709	2098.612	69.033%	622.898	74.028%	0.30588	0.66
G2_59	1113	0.822	520.2	46.739%	178.248	58.139%	0.21754	0.792
G2_60	3285	0.803	1535.261	46.735%	591.775	59.896%	0.22657	0.774
G2_61	4902	0.816	2068.401	42.195%	844.77	58.001%	0.20348	0.789
G2_62	1017	0.834	437.907	43.059%	154.612	56.637%	0.20908	0.805
G2_63	1327	0.794	702.216	52.918%	259.186	60.765%	0.26376	0.768
G2_64	3504	0.768	1866.57	53.27%	712.479	64.286%	0.24702	0.736
G2_65	1745	0.768	977.681	56.028%	348.98	64.304%	0.26706	0.736
G2_66	4709	0.693	3144.964	66.786%	1232.589	72.129%	0.35149	0.66
G2_67	2583	0.811	1276.389	49.415%	407.92	61.846%	0.20652	0.776
G2_68	3891	0.805	1784.219	45.855%	700.825	59.587%	0.21363	0.776
G2_69	1981	0.825	891.982	45.027%	314.382	57.614%	0.18999	0.795
G2_70	3681	0.774	1951.553	53.017%	701.934	64.048%	0.23945	0.74
G2_71	1959	0.832	822.491	41.985%	309.872	56.182%	0.19353	0.804
G2_72	3054	0.814	1418.311	46.441%	506.816	58.968%	0.20302	0.784
G2_73	2423	0.735	1508.199	62.245%	485.129	69.74%	0.27878	0.693
G3_1	2181	0.8	1222.18	56.038%	519.495	61.478%	0.29974	0.785
G3_2	4840	0.787	2972.989	61.425%	1277.893	63.835%	0.33628	0.774
G3_3	737	0.812	466.583	63.308%	174.151	60.352%	0.3492	0.799
G3_4	4459	0.758	2420.508	54.284%	1185.025	66.211%	0.30547	0.74
G3_5	1883	0.802	1170.805	62.178%	462.118	61.631%	0.33083	0.789
G3_6	1044	0.823	639.483	61.253%	231.634	58.561%	0.30621	0.81
G3_7	1587	0.785	1004.988	63.326%	424.001	64.087%	0.35337	0.773
G3_8	2192	0.762	1384.605	63.166%	629.785	66.737%	0.37281	0.749
G3_9	3946	0.749	2321.413	58.83%	1141.632	67.809%	0.35185	0.734
G3_10	3394	0.785	1893.893	55.801%	853.39	63.377%	0.2993	0.77
G3_11	4342	0.803	2290.529	52.753%	999.203	60.815%	0.26934	0.787
G3_12	4806	0.769	3594.451	74.791%	1502.059	67.362%	0.45027	0.761
G3_13	2750	0.803	1355.696	49.298%	582.733	60.015%	0.24422	0.783
G3_14	2005	0.818	1217.014	60.699%	461.063	59.429%	0.30944	0.806
G3_15	3893	0.818	2486.583	63.873%	926.182	59.899%	0.31765	0.807
G3_16	957	0.777	660.695	69.038%	266.408	65.254%	0.42424	0.765
G3_17	1298	0.82	644.992	49.691%	243.212	57.267%	0.25322	0.799
G3_18	2578	0.779	1752.973	67.997%	734.027	65.386%	0.39335	0.769
G3_19	1631	0.816	890.862	54.621%	354.829	58.929%	0.27382	0.801
G3_20	3862	0.795	2544.177	65.877%	1025.307	63.248%	0.34803	0.784
G3_21	1153	0.8	622.825	54.018%	256.707	60.752%	0.29185	0.782
G3_22	3197	0.848	1556.882	48.698%	576.02	53.566%	0.21728	0.832
G3_23	3413	0.813	2342.905	68.646%	872.819	61.31%	0.36038	0.805
G3_24	1079	0.789	595.346	55.176%	258.916	62.552%	0.30059	0.772
G3_25	4095	0.711	3007.813	73.451%	1444.094	72.581%	0.46415	0.699
G3_26	691	0.712	493.031	71.35%	213.841	71.2%	0.44182	0.693
G3_27	1213	0.77	701.474	57.83%	309.234	64.808%	0.33451	0.752
G3_28	3180	0.711	2279.408	71.679%	1087.706	72.256%	0.44597	0.697
G3_29	1714	0.748	1071.804	62.532%	503.653	68.024%	0.383	0.734
G3_30	5047	0.763	3452.15	68.4%	1518.695	67.229%	0.40116	0.753
G3_31	2940	0.782	2018.849	68.668%	829.277	65.047%	0.38204	0.772
G3_32	683	0.719	499.906	73.193%	214.098	70.818%	0.45522	0.702
G3_33	2164	0.767	1503.747	69.489%	645.422	66.847%	0.41919	0.757
G3_34	4961	0.754	3125.128	62.994%	1482.848	67.77%	0.37818	0.742
G3_35	1992	0.767	1205.304	60.507%	547.735	65.883%	0.35328	0.752
G3_36	659	0.8	431.56	65.487%	165.434	62.102%	0.3798	0.788
G3_37	3844	0.813	2592.139	67.433%	969.171	61.123%	0.35069	0.804
G3_38	2100	0.759	1171.739	55.797%	533.974	65.737%	0.29967	0.739
G3_39	3055	0.728	2116.31	69.274%	989.096	70.49%	0.43938	0.715
