Samples	SBS96A	SBS96B
G1_1	2423	2030
G1_2	1709	1517
G1_3	1447	1225
G1_4	1250	1111
G1_5	2298	1974
G1_6	1097	934
G1_7	2787	2247
G1_8	2351	2008
G1_9	671	616
G1_10	742	616
G1_11	693	589
G1_12	2223	1877
G1_13	786	726
G1_14	789	681
G1_15	2535	2060
G1_16	906	762
G1_17	2428	1935
G1_18	1238	997
G1_19	1372	1191
G1_20	752	686
G1_21	1074	922
G1_22	1058	840
G1_23	2523	2243
G2_1	987	0
G2_2	4306	0
G2_3	3841	0
G2_4	5042	0
G2_5	2052	0
G2_6	1947	0
G2_7	4061	0
G2_8	2218	9
G2_9	4776	0
G2_10	4032	0
G2_11	4600	383
G2_12	1340	24
G2_13	2026	0
G2_14	2157	0
G2_15	2532	0
G2_16	1865	0
G2_17	2833	0
G2_18	3536	0
G2_19	2017	65
G2_20	3685	0
G2_21	4169	205
G2_22	531	0
G2_23	2208	0
G2_24	1456	0
G2_25	2732	0
G2_26	1583	0
G2_27	3679	85
G2_28	4479	48
G2_29	4836	0
G2_30	4960	0
G2_31	801	3
G2_32	2597	34
G2_33	1948	0
G2_34	1144	77
G2_35	2771	3
G2_36	1565	0
G2_37	2149	13
G2_38	3022	50
G2_39	3381	43
G2_40	979	0
G2_41	1741	0
G2_42	3695	0
G2_43	2082	9
G2_44	3214	0
G2_45	3487	0
G2_46	1579	0
G2_47	911	20
G2_48	3116	82
G2_49	2484	0
G2_50	4625	0
G2_51	2513	0
G2_52	3054	75
G2_53	1276	31
G2_54	3814	0
G2_55	2546	156
G2_56	4295	0
G2_57	2326	0
G2_58	3040	0
G2_59	1082	31
G2_60	3280	5
G2_61	4813	89
G2_62	966	51
G2_63	1327	0
G2_64	3504	0
G2_65	1745	0
G2_66	4709	0
G2_67	2547	36
G2_68	3878	13
G2_69	1920	61
G2_70	3681	0
G2_71	1877	82
G2_72	3003	51
G2_73	2423	0
G3_1	0	2181
G3_2	0	4840
G3_3	5	732
G3_4	0	4459
G3_5	0	1883
G3_6	35	1009
G3_7	0	1587
G3_8	0	2192
G3_9	0	3946
G3_10	0	3394
G3_11	0	4342
G3_12	0	4806
G3_13	0	2750
G3_14	43	1962
G3_15	79	3814
G3_16	0	957
G3_17	45	1253
G3_18	0	2578
G3_19	28	1603
G3_20	0	3862
G3_21	0	1153
G3_22	302	2895
G3_23	39	3374
G3_24	0	1079
G3_25	0	4095
G3_26	0	691
G3_27	0	1213
G3_28	0	3180
G3_29	0	1714
G3_30	0	5047
G3_31	0	2940
G3_32	0	683
G3_33	0	2164
G3_34	0	4961
G3_35	0	1992
G3_36	0	659
G3_37	39	3805
G3_38	0	2100
G3_39	0	3055
G3_40	260	3844
G3_41	0	4147
G3_42	0	2484
G3_43	0	4102
G3_44	0	2424
G3_45	0	1273
G3_46	0	1583
G3_47	0	1494
G3_48	0	1440
G3_49	6	2804
G3_50	18	2928
G3_51	0	3774
G3_52	0	1839
G3_53	0	1326
G3_54	0	871
G3_55	0	4792
