Samples	SBS96A	SBS96B	SBS96C
G1_1	9.21E+00	5.73E+00	8.36E+00
G1_2	6.62E+00	6.76E+00	6.39E+00
G1_3	4.13E+00	6.28E+00	5.11E+00
G1_4	6.60E+00	5.68E+00	8.17E+00
G1_5	1.02E+01	7.90E+00	1.06E+01
G1_6	5.73E+00	3.20E+00	6.67E+00
G1_7	1.13E+01	7.09E+00	1.23E+01
G1_8	8.36E+00	7.41E+00	9.83E+00
G1_9	4.27E+00	3.44E+00	5.52E+00
G1_10	5.65E+00	3.18E+00	7.51E+00
G1_11	4.43E+00	3.60E+00	3.64E+00
G1_12	9.58E+00	6.05E+00	9.02E+00
G1_13	4.32E+00	4.86E+00	4.76E+00
G1_14	4.44E+00	3.31E+00	3.66E+00
G1_15	8.95E+00	9.05E+00	1.03E+01
G1_16	7.33E+00	3.34E+00	6.72E+00
G1_17	1.11E+01	7.45E+00	1.24E+01
G1_18	6.61E+00	5.02E+00	7.95E+00
G1_19	6.33E+00	6.31E+00	9.04E+00
G1_20	4.49E+00	5.08E+00	5.37E+00
G1_21	6.00E+00	4.33E+00	6.47E+00
G1_22	9.05E+00	5.23E+00	8.81E+00
G1_23	8.41E+00	1.23E+01	1.06E+01
G2_1	7.25E+00	2.30E+00	6.49E+00
G2_2	1.16E+01	3.02E+00	1.24E+01
G2_3	9.81E+00	2.88E+00	1.16E+01
G2_4	1.01E+01	3.74E+00	8.96E+00
G2_5	8.72E+00	1.46E+00	8.54E+00
G2_6	8.65E+00	2.33E+00	8.80E+00
G2_7	1.35E+01	4.66E+00	1.28E+01
G2_8	1.81E+01	2.72E+00	1.83E+01
G2_9	9.85E+00	4.44E+00	9.17E+00
G2_10	1.38E+01	2.73E+00	1.28E+01
G2_11	2.59E+01	4.44E+00	2.42E+01
G2_12	9.55E+00	2.01E+00	9.22E+00
G2_13	7.10E+00	2.08E+00	6.57E+00
G2_14	9.20E+00	2.84E+00	7.74E+00
G2_15	7.57E+00	2.42E+00	6.06E+00
G2_16	1.01E+01	3.84E+00	9.82E+00
G2_17	3.94E+00	1.87E+00	3.88E+00
G2_18	6.12E+00	2.58E+00	5.21E+00
G2_19	1.19E+01	2.34E+00	1.22E+01
G2_20	1.02E+01	2.78E+00	9.74E+00
G2_21	1.64E+01	3.25E+00	1.70E+01
G2_22	2.86E+00	1.12E+00	2.70E+00
G2_23	8.02E+00	1.02E+00	8.73E+00
G2_24	9.46E+00	1.25E+00	9.66E+00
G2_25	7.80E+00	2.87E+00	7.41E+00
G2_26	8.96E+00	1.31E+00	8.27E+00
G2_27	1.71E+01	3.72E+00	1.76E+01
G2_28	1.21E+01	3.52E+00	1.23E+01
G2_29	1.57E+01	2.97E+00	1.57E+01
G2_30	1.20E+01	3.30E+00	9.70E+00
G2_31	5.23E+00	1.17E+00	6.05E+00
G2_32	1.05E+01	2.58E+00	1.04E+01
G2_33	5.66E+00	2.06E+00	6.33E+00
G2_34	1.65E+01	3.74E+00	1.59E+01
G2_35	1.12E+01	3.89E+00	1.15E+01
G2_36	7.06E+00	1.74E+00	7.23E+00
G2_37	1.58E+01	1.93E+00	1.68E+01
G2_38	1.58E+01	1.23E+00	1.53E+01
G2_39	2.05E+01	2.88E+00	1.91E+01
G2_40	5.27E+00	1.72E+00	6.02E+00
G2_41	1.17E+01	2.39E+00	1.09E+01
G2_42	1.22E+01	2.97E+00	1.12E+01
G2_43	8.71E+00	2.65E+00	8.83E+00
G2_44	9.30E+00	1.67E+00	9.84E+00
G2_45	9.28E+00	2.44E+00	8.63E+00
G2_46	7.89E+00	2.53E+00	8.15E+00
G2_47	1.20E+01	1.37E+00	1.13E+01
G2_48	1.84E+01	2.54E+00	1.86E+01
G2_49	1.18E+01	3.89E+00	1.19E+01
G2_50	6.86E+00	3.66E+00	7.28E+00
G2_51	1.12E+01	2.51E+00	1.03E+01
G2_52	5.99E+00	1.62E+00	6.37E+00
G2_53	1.02E+01	2.94E+00	1.02E+01
G2_54	9.63E+00	3.40E+00	1.09E+01
G2_55	1.42E+01	3.50E+00	1.45E+01
G2_56	1.31E+01	5.02E+00	1.10E+01
G2_57	9.04E+00	2.78E+00	8.76E+00
G2_58	8.08E+00	3.08E+00	7.31E+00
G2_59	8.45E+00	2.38E+00	8.11E+00
G2_60	1.48E+01	3.51E+00	1.43E+01
G2_61	1.70E+01	3.03E+00	1.67E+01
G2_62	1.03E+01	1.26E+00	1.07E+01
G2_63	8.28E+00	2.64E+00	7.32E+00
G2_64	1.34E+01	3.87E+00	1.31E+01
G2_65	8.56E+00	1.85E+00	9.16E+00
G2_66	6.01E+00	3.13E+00	5.04E+00
G2_67	1.32E+01	3.25E+00	1.30E+01
G2_68	1.80E+01	2.05E+00	1.80E+01
G2_69	1.29E+01	4.08E+00	1.12E+01
G2_70	1.34E+01	2.41E+00	1.18E+01
G2_71	1.08E+01	3.02E+00	9.61E+00
G2_72	1.45E+01	3.64E+00	1.66E+01
G2_73	8.57E+00	3.00E+00	8.91E+00
G3_1	2.63E+00	1.19E+01	1.13E+01
G3_2	6.72E+00	1.53E+01	1.20E+01
G3_3	2.31E+00	5.81E+00	5.84E+00
G3_4	8.18E+00	1.34E+01	1.73E+01
G3_5	2.40E+00	1.36E+01	1.32E+01
G3_6	3.18E+00	1.16E+01	1.21E+01
G3_7	2.49E+00	8.43E+00	8.35E+00
G3_8	4.14E+00	8.66E+00	7.54E+00
G3_9	5.60E+00	1.48E+01	1.28E+01
G3_10	5.18E+00	1.19E+01	1.15E+01
G3_11	7.05E+00	1.71E+01	1.67E+01
G3_12	3.54E+00	6.15E+00	4.43E+00
G3_13	9.01E+00	1.29E+01	1.70E+01
G3_14	3.35E+00	1.67E+01	1.57E+01
G3_15	2.04E+00	1.45E+01	1.47E+01
G3_16	2.21E+00	4.74E+00	3.16E+00
G3_17	3.97E+00	1.02E+01	1.03E+01
G3_18	2.44E+00	8.43E+00	9.78E+00
G3_19	4.04E+00	1.68E+01	1.36E+01
G3_20	7.09E+00	1.57E+01	1.26E+01
G3_21	5.35E+00	9.08E+00	9.63E+00
G3_22	4.25E+00	2.01E+01	2.12E+01
G3_23	3.40E+00	1.14E+01	9.66E+00
G3_24	4.19E+00	7.22E+00	8.35E+00
G3_25	3.43E+00	7.43E+00	6.35E+00
G3_26	0.00E+00	3.57E+00	3.57E+00
G3_27	5.87E+00	8.43E+00	7.81E+00
G3_28	4.41E+00	7.04E+00	3.60E+00
G3_29	1.79E+00	7.16E+00	7.37E+00
G3_30	5.28E+00	6.64E+00	5.51E+00
G3_31	4.95E+00	5.61E+00	5.65E+00
G3_32	4.18E+00	3.80E+00	1.52E+00
G3_33	3.04E+00	6.16E+00	7.09E+00
G3_34	7.39E+00	1.43E+01	8.52E+00
G3_35	2.94E+00	6.61E+00	7.69E+00
G3_36	2.12E+00	4.07E+00	3.15E+00
G3_37	3.26E+00	1.52E+01	1.43E+01
G3_38	5.89E+00	1.07E+01	1.03E+01
G3_39	2.82E+00	7.79E+00	6.56E+00
G3_40	6.91E+00	2.54E+01	2.37E+01
G3_41	8.94E+00	1.60E+01	1.36E+01
G3_42	1.13E+00	3.40E+00	3.43E+00
G3_43	4.10E+00	1.61E+01	1.63E+01
G3_44	2.93E+00	6.37E+00	4.90E+00
G3_45	1.72E+00	1.05E+01	9.94E+00
G3_46	4.17E+00	8.86E+00	9.13E+00
G3_47	2.26E+00	5.30E+00	5.00E+00
G3_48	1.21E+00	3.15E+00	2.86E+00
G3_49	4.00E+00	1.67E+01	1.62E+01
G3_50	5.27E+00	1.39E+01	1.20E+01
G3_51	7.92E+00	1.51E+01	1.55E+01
G3_52	3.98E+00	6.59E+00	4.41E+00
G3_53	2.40E+00	4.67E+00	5.15E+00
