Samples	SBS96A	SBS96B	SBS96C	SBS96D
G1_1	36	62	2212	2143
G1_2	0	66	862	2298
G1_3	20	34	1697	921
G1_4	0	39	614	1708
G1_5	0	78	670	3524
G1_6	4	30	796	1201
G1_7	122	78	3067	1767
G1_8	0	38	1156	3165
G1_9	0	26	188	1073
G1_10	23	23	798	514
G1_11	0	16	561	705
G1_12	0	60	974	3066
G1_13	0	25	320	1167
G1_14	0	20	640	810
G1_15	46	81	834	3634
G1_16	0	19	598	1051
G1_17	102	49	2816	1396
G1_18	53	40	1088	1054
G1_19	0	31	1613	919
G1_20	0	30	642	766
G1_21	0	33	496	1467
G1_22	40	27	860	971
G1_23	0	81	1503	3182
G2_1	710	17	97	163
G2_2	3581	52	63	610
G2_3	3205	30	606	0
G2_4	3951	46	949	96
G2_5	1554	4	494	0
G2_6	1482	17	448	0
G2_7	3087	46	735	193
G2_8	1631	18	491	87
G2_9	4167	48	561	0
G2_10	3187	38	506	301
G2_11	2951	49	1599	384
G2_12	974	6	384	0
G2_13	1569	27	430	0
G2_14	1653	25	287	192
G2_15	2093	13	426	0
G2_16	1543	29	285	8
G2_17	2533	20	280	0
G2_18	2854	27	655	0
G2_19	1425	27	511	119
G2_20	2790	22	794	79
G2_21	2827	31	1259	257
G2_22	441	10	0	80
G2_23	1814	15	379	0
G2_24	1111	4	341	0
G2_25	2245	20	446	21
G2_26	1256	10	317	0
G2_27	2695	39	1030	0
G2_28	3273	48	1013	193
G2_29	3865	53	691	227
G2_30	3890	51	1019	0
G2_31	600	5	199	0
G2_32	1923	22	686	0
G2_33	1652	13	276	7
G2_34	792	18	411	0
G2_35	2087	22	665	0
G2_36	1217	15	54	279
G2_37	1561	12	494	95
G2_38	2211	33	751	77
G2_39	2424	30	750	220
G2_40	777	8	184	10
G2_41	1268	12	326	135
G2_42	3051	38	347	259
G2_43	1556	17	503	15
G2_44	2733	16	284	181
G2_45	3172	30	189	96
G2_46	1210	18	351	0
G2_47	668	10	253	0
G2_48	2223	38	784	153
G2_49	1912	35	537	0
G2_50	4104	45	352	124
G2_51	2044	36	371	62
G2_52	2219	25	885	0
G2_53	939	18	350	0
G2_54	2931	20	863	0
G2_55	1772	37	876	17
G2_56	3303	63	421	508
G2_57	1834	14	478	0
G2_58	2637	48	0	355
G2_59	770	13	281	49
G2_60	2455	19	811	0
G2_61	3520	33	1349	0
G2_62	655	6	315	41
G2_63	1017	11	299	0
G2_64	2894	33	546	31
G2_65	1437	16	275	17
G2_66	4572	31	106	0
G2_67	1762	31	425	365
G2_68	2922	39	930	0
G2_69	1390	38	479	74
G2_70	2933	33	546	169
G2_71	1344	25	590	0
G2_72	2208	35	761	50
G2_73	1993	17	61	352
G3_1	54	1567	545	15
G3_2	82	3645	1113	0
G3_3	9	496	232	0
G3_4	93	3574	420	372
G3_5	18	1317	548	0
G3_6	17	669	358	0
G3_7	19	1194	374	0
G3_8	43	1793	332	24
G3_9	80	3317	360	189
G3_10	86	2564	675	69
G3_11	123	3068	1038	113
G3_12	17	3808	981	0
G3_13	79	1870	518	283
G3_14	21	1306	678	0
G3_15	42	2539	1312	0
G3_16	7	739	211	0
G3_17	26	795	330	147
G3_18	10	1972	596	0
G3_19	37	1092	502	0
G3_20	63	2810	989	0
G3_21	34	809	242	68
G3_22	105	1816	1223	53
G3_23	17	2247	1149	0
G3_24	40	790	168	81
G3_25	52	3907	48	88
G3_26	6	633	0	52
G3_27	36	935	132	110
G3_28	42	3004	0	134
G3_29	15	1443	195	61
G3_30	47	4106	894	0
G3_31	9	2221	710	0
G3_32	14	618	0	51
G3_33	14	1733	417	0
G3_34	102	4186	660	13
G3_35	47	1602	301	42
G3_36	15	471	173	0
G3_37	25	2544	1275	0
G3_38	60	1651	132	257
G3_39	22	2726	178	129
G3_40	72	2459	1573	0
G3_41	115	3218	395	419
G3_42	4	1927	553	0
G3_43	85	3215	685	117
G3_44	60	2255	37	72
G3_45	14	899	353	7
G3_46	51	1239	180	113
G3_47	14	1183	297	0
G3_48	0	1440	0	0
G3_49	45	1921	844	0
G3_50	48	1999	899	0
G3_51	77	2614	1083	0
G3_52	48	1525	239	27
G3_53	13	1073	240	0
G3_54	33	684	97	57
G3_55	74	4334	210	174
