Samples	SBS96A	SBS96B	SBS96C	SBS96D
G1_1	9.67E+00	3.84E+00	3.35E+02	3.35E+02
G1_2	6.37E+00	6.16E+00	3.17E+02	3.14E+02
G1_3	3.25E+00	4.81E+00	1.53E+02	1.55E+02
G1_4	5.63E+00	4.45E+00	2.43E+02	2.41E+02
G1_5	1.66E+01	3.57E+00	4.63E+02	4.50E+02
G1_6	3.63E+00	1.82E+00	1.72E+02	1.72E+02
G1_7	1.41E+01	5.41E+00	2.34E+02	2.22E+02
G1_8	9.13E+00	4.69E+00	4.66E+02	4.65E+02
G1_9	2.97E+00	2.59E+00	1.47E+02	1.46E+02
G1_10	5.23E+00	2.99E+00	8.43E+01	8.96E+01
G1_11	2.90E+00	2.43E+00	1.01E+02	1.01E+02
G1_12	1.28E+01	3.68E+00	4.14E+02	4.07E+02
G1_13	3.68E+00	3.32E+00	1.77E+02	1.78E+02
G1_14	3.54E+00	1.95E+00	1.29E+02	1.29E+02
G1_15	1.02E+01	7.10E+00	4.59E+02	4.48E+02
G1_16	6.75E+00	3.50E+00	1.45E+02	1.41E+02
G1_17	5.64E+00	5.31E+00	1.92E+02	1.92E+02
G1_18	6.24E+00	2.64E+00	1.25E+02	1.23E+02
G1_19	4.30E+00	3.96E+00	1.59E+02	1.58E+02
G1_20	3.27E+00	3.81E+00	1.17E+02	1.18E+02
G1_21	6.97E+00	3.51E+00	2.03E+02	2.00E+02
G1_22	7.64E+00	3.39E+00	1.33E+02	1.31E+02
G1_23	9.70E+00	8.82E+00	4.56E+02	4.53E+02
G2_1	8.28E+00	2.35E+00	2.69E+01	3.13E+01
G2_2	6.34E+01	5.19E+00	7.54E+01	1.29E+02
G2_3	7.82E+01	2.79E+00	9.09E+01	1.50E+01
G2_4	7.78E+01	3.36E+00	1.35E+02	5.67E+01
G2_5	5.47E+01	1.26E+00	5.90E+01	5.95E+00
G2_6	4.47E+01	2.51E+00	6.18E+01	1.89E+01
G2_7	5.82E+01	4.20E+00	1.04E+02	5.59E+01
G2_8	3.71E+01	2.73E+00	7.42E+01	4.38E+01
G2_9	8.03E+01	4.68E+00	9.70E+01	2.16E+01
G2_10	3.51E+01	2.86E+00	1.00E+02	7.65E+01
G2_11	5.06E+01	5.23E+00	1.60E+02	1.20E+02
G2_12	5.37E+01	1.81E+00	5.55E+01	7.00E+00
G2_13	3.96E+01	2.24E+00	6.66E+01	2.66E+01
G2_14	1.76E+01	2.71E+00	6.10E+01	6.27E+01
G2_15	6.92E+01	2.32E+00	7.31E+01	5.80E+00
G2_16	2.89E+01	3.39E+00	3.07E+01	1.18E+01
G2_17	6.53E+01	1.42E+00	6.18E+01	4.69E+00
G2_18	9.48E+01	2.46E+00	1.14E+02	1.87E+01
G2_19	3.94E+01	1.91E+00	6.82E+01	3.00E+01
G2_20	6.65E+01	2.47E+00	9.94E+01	3.36E+01
G2_21	7.36E+01	3.65E+00	1.41E+02	7.24E+01
G2_22	1.77E+01	1.03E+00	6.19E+00	2.17E+01
G2_23	3.66E+01	1.35E+00	6.10E+01	2.77E+01
G2_24	4.01E+01	9.31E-01	4.37E+01	8.80E+00
