Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
G1_1	9.01E+00	8.93E+01	1.10E+01	3.10E+01	1.05E+02	1.35E+02
G1_2	7.85E+00	5.99E+01	9.67E+00	2.88E+01	8.09E+01	1.03E+02
G1_3	3.51E+00	2.91E+01	5.65E+00	1.76E+01	5.37E+01	4.88E+01
G1_4	5.39E+00	6.94E+01	7.23E+00	2.22E+01	7.75E+01	3.50E+01
G1_5	1.03E+01	8.21E+01	8.41E+00	4.03E+01	1.38E+02	1.06E+02
G1_6	3.86E+00	3.07E+01	5.55E+00	1.88E+01	5.51E+01	3.91E+01
G1_7	1.18E+01	1.09E+02	1.16E+01	5.06E+01	8.03E+01	1.53E+02
G1_8	1.09E+01	8.35E+01	9.13E+00	4.74E+01	1.38E+02	1.28E+02
G1_9	2.68E+00	2.27E+01	4.96E+00	1.30E+01	4.42E+01	2.32E+01
G1_10	4.23E+00	3.25E+01	3.10E+00	1.33E+01	3.85E+01	2.98E+01
G1_11	3.44E+00	4.66E+01	3.06E+00	2.06E+01	3.79E+01	5.94E+01
G1_12	9.85E+00	5.53E+01	1.17E+01	2.89E+01	1.29E+02	1.25E+02
G1_13	3.82E+00	5.79E+01	4.77E+00	1.80E+01	5.93E+01	2.04E+01
G1_14	4.43E+00	4.23E+01	3.46E+00	2.55E+01	4.21E+01	7.93E+01
G1_15	8.28E+00	1.01E+02	1.15E+01	4.55E+01	1.42E+02	1.07E+02
G1_16	5.66E+00	2.81E+01	4.67E+00	1.90E+01	6.04E+01	5.37E+01
G1_17	5.99E+00	1.59E+02	8.62E+00	2.85E+01	6.31E+01	1.65E+02
G1_18	7.29E+00	4.02E+01	6.62E+00	4.10E+01	4.08E+01	5.66E+01
G1_19	4.78E+00	6.14E+01	5.97E+00	3.62E+01	5.11E+01	9.01E+01
G1_20	3.03E+00	2.90E+01	5.54E+00	1.30E+01	3.60E+01	4.41E+01
G1_21	4.64E+00	3.74E+01	5.15E+00	1.86E+01	6.42E+01	5.36E+01
G1_22	4.49E+00	2.61E+01	4.97E+00	2.49E+01	4.53E+01	4.37E+01
G1_23	9.18E+00	1.65E+02	1.37E+01	3.79E+01	1.52E+02	5.64E+01
G2_1	1.67E+01	1.99E+01	3.03E+00	2.48E+01	4.11E+00	3.24E+01
G2_2	4.76E+01	6.99E+01	2.31E+00	5.30E+01	1.42E+01	8.76E+01
G2_3	5.35E+01	6.48E+01	3.92E+00	4.25E+01	9.10E+00	8.13E+01
G2_4	7.19E+01	7.20E+01	4.63E+00	4.56E+01	1.26E+01	1.18E+02
G2_5	3.42E+01	5.59E+01	1.21E+00	2.13E+01	6.43E+00	8.00E+01
G2_6	2.72E+01	2.67E+01	2.76E+00	2.68E+01	5.45E+00	3.85E+01
G2_7	7.29E+01	1.04E+02	5.21E+00	3.76E+01	7.94E+00	1.39E+02
G2_8	7.04E+01	5.61E+01	2.36E+00	2.06E+01	9.11E+00	9.87E+01
G2_9	2.43E+02	1.15E+02	7.13E+00	5.06E+01	9.62E+00	3.41E+02
G2_10	9.67E+01	6.50E+01	4.73E+00	4.29E+01	1.23E+01	1.44E+02
G2_11	5.84E+01	9.34E+01	6.15E+00	9.36E+01	1.05E+01	1.43E+02
G2_12	2.37E+01	3.68E+01	1.00E+00	1.22E+01	3.87E+00	4.58E+01
