Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
G1_1	8.88E+00	1.09E+01	5.55E+01	6.23E+01	4.02E+01	6.64E+01	4.45E+01
G1_2	5.58E+00	1.17E+01	6.76E+01	6.81E+01	3.58E+01	7.60E+01	5.29E+01
G1_3	3.79E+00	5.44E+00	3.25E+01	5.49E+01	3.11E+01	3.49E+01	2.72E+01
G1_4	4.60E+00	3.39E+00	5.52E+01	8.44E+01	4.46E+01	5.07E+01	3.87E+01
G1_5	7.41E+00	1.08E+01	8.87E+01	7.48E+01	5.48E+01	9.23E+01	3.32E+01
G1_6	3.74E+00	4.41E+00	2.19E+01	3.27E+01	1.22E+01	3.81E+01	2.65E+01
G1_7	6.68E+00	1.17E+01	8.92E+01	1.19E+02	4.65E+01	5.43E+01	5.15E+01
G1_8	6.08E+00	6.09E+00	5.19E+01	9.59E+01	4.30E+01	9.18E+01	4.96E+01
G1_9	1.15E+00	5.65E+00	1.17E+01	3.33E+01	2.34E+01	2.50E+01	2.80E+01
G1_10	3.71E+00	2.43E+00	2.34E+01	3.14E+01	1.84E+01	2.68E+01	2.15E+01
G1_11	2.24E+00	3.15E+00	3.38E+01	5.33E+01	2.03E+01	1.69E+01	1.65E+01
G1_12	7.77E+00	1.31E+01	4.38E+01	6.67E+01	3.78E+01	8.35E+01	3.57E+01
G1_13	2.97E+00	5.87E+00	3.19E+01	2.41E+01	1.23E+01	4.55E+01	2.44E+01
G1_14	2.26E+00	3.43E+00	3.30E+01	4.06E+01	2.54E+01	3.24E+01	1.87E+01
G1_15	8.75E+00	1.06E+01	7.98E+01	1.00E+02	5.93E+01	1.07E+02	8.54E+01
G1_16	3.92E+00	3.92E+00	2.61E+01	5.54E+01	1.83E+01	3.46E+01	2.13E+01
G1_17	7.44E+00	7.66E+00	1.84E+01	4.59E+01	2.95E+01	3.91E+01	5.23E+01
G1_18	4.66E+00	6.09E+00	3.41E+01	5.31E+01	3.44E+01	1.73E+01	4.03E+01
G1_19	1.54E+00	3.87E+00	3.19E+01	6.01E+01	2.25E+01	3.68E+01	2.01E+01
G1_20	2.94E+00	4.48E+00	2.95E+01	3.57E+01	2.08E+01	2.75E+01	2.01E+01
G1_21	4.67E+00	5.35E+00	2.34E+01	3.63E+01	2.19E+01	3.77E+01	2.34E+01
G1_22	5.46E+00	3.62E+00	3.48E+01	5.94E+01	2.70E+01	2.72E+01	4.07E+01
G1_23	5.34E+00	1.53E+01	8.15E+01	6.10E+01	4.90E+01	9.34E+01	7.92E+01
G2_1	2.04E+01	2.68E+00	2.18E+01	3.26E+01	2.49E+01	2.97E+00	3.91E+01
G2_2	6.95E+01	5.31E+00	6.42E+01	1.13E+02	9.31E+01	1.12E+01	1.34E+02
G2_3	3.20E+01	4.90E+00	4.49E+01	9.03E+01	3.40E+01	9.34E+00	4.76E+01
G2_4	2.91E+01	4.94E+00	8.10E+01	1.18E+02	6.35E+01	6.20E+00	9.04E+01
G2_5	3.73E+01	1.07E+00	4.72E+01	7.16E+01	2.36E+01	3.03E+00	7.00E+01
G2_6	2.17E+01	2.37E+00	3.04E+01	4.88E+01	2.32E+01	4.34E+00	4.06E+01
G2_7	6.50E+01	4.17E+00	5.76E+01	7.95E+01	3.86E+01	7.00E+00	1.17E+02
G2_8	1.12E+01	2.73E+00	2.86E+01	3.11E+01	2.17E+01	7.04E+00	4.36E+01
G2_9	3.63E+01	5.59E+00	5.49E+01	9.17E+01	3.95E+01	6.49E+00	6.78E+01
G2_10	5.94E+01	4.68E+00	5.76E+01	5.36E+01	3.97E+01	9.74E+00	1.02E+02
G2_11	3.56E+01	6.88E+00	6.94E+01	7.62E+01	6.80E+01	9.14E+00	9.97E+01
G2_12	2.11E+01	1.13E+00	3.04E+01	4.86E+01	2.30E+01	2.77E+00	3.76E+01
G2_13	1.98E+01	2.73E+00	2.56E+01	4.23E+01	2.59E+01	3.11E+00	3.63E+01
G2_14	1.78E+01	2.37E+00	3.24E+01	6.42E+01	5.31E+01	2.47E+00	6.56E+01
G2_15	3.02E+01	2.10E+00	3.96E+01	5.80E+01	2.33E+01	5.41E+00	4.43E+01
G2_16	3.34E+01	3.83E+00	2.21E+01	3.36E+01	1.53E+01	8.25E+00	5.63E+01
G2_17	2.51E+01	2.62E+00	3.12E+01	3.88E+01	4.01E+01	2.88E+00	4.87E+01
G2_18	5.44E+01	3.26E+00	5.00E+01	7.38E+01	2.78E+01	4.28E+00	7.81E+01
G2_19	2.02E+01	3.30E+00	5.56E+01	8.76E+01	3.38E+01	6.16E+00	4.41E+01
G2_20	3.53E+01	2.56E+00	5.63E+01	7.93E+01	4.42E+01	1.09E+01	9.13E+01
G2_21	3.89E+01	3.27E+00	5.22E+01	7.77E+01	5.43E+01	8.89E+00	8.35E+01
G2_22	6.74E+00	1.05E+00	7.40E+00	1.40E+01	1.49E+01	2.23E+00	1.45E+01
G2_23	2.56E+01	1.50E+00	3.11E+01	3.67E+01	4.42E+01	5.34E+00	5.21E+01
G2_24	3.33E+01	6.00E-01	3.15E+01	5.76E+01	2.63E+01	5.02E+00	5.95E+01
G2_25	1.99E+01	2.74E+00	6.05E+01	8.22E+01	2.09E+01	4.62E+00	3.79E+01
G2_26	1.17E+01	1.20E+00	2.51E+01	5.07E+01	3.24E+01	2.85E+00	2.89E+01
G2_27	6.17E+01	4.90E+00	5.94E+01	1.16E+02	5.40E+01	7.06E+00	1.03E+02
G2_28	4.75E+01	6.12E+00	7.07E+01	1.02E+02	2.92E+01	8.01E+00	7.67E+01
G2_29	6.52E+01	4.04E+00	5.52E+01	6.93E+01	4.86E+01	8.37E+00	1.15E+02
G2_30	5.05E+01	5.62E+00	9.34E+01	1.49E+02	6.10E+01	4.89E+00	1.02E+02
G2_31	2.29E+01	7.57E-01	2.02E+01	2.70E+01	2.06E+01	2.38E+00	4.28E+01
G2_32	3.26E+01	2.94E+00	2.60E+01	6.20E+01	3.93E+01	4.31E+00	4.92E+01
G2_33	3.73E+01	1.51E+00	2.78E+01	4.15E+01	2.30E+01	4.64E+00	7.12E+01
G2_34	8.88E+00	3.14E+00	3.36E+01	3.30E+01	2.21E+01	8.94E-01	2.73E+01
G2_35	2.06E+01	2.78E+00	6.46E+01	1.05E+02	3.94E+01	7.02E+00	5.78E+01
G2_36	1.91E+01	1.96E+00	2.54E+01	4.57E+01	3.57E+01	4.88E+00	4.58E+01
G2_37	1.71E+01	1.44E+00	3.53E+01	6.70E+01	2.09E+01	6.83E+00	5.00E+01
G2_38	2.87E+01	3.08E+00	3.84E+01	7.22E+01	4.29E+01	6.28E+00	5.54E+01
G2_39	2.22E+01	3.58E+00	7.38E+01	1.10E+02	6.24E+01	1.01E+01	5.88E+01
G2_40	8.90E+00	1.07E+00	1.48E+01	1.74E+01	1.91E+01	2.47E+00	2.07E+01
G2_41	1.37E+01	2.02E+00	2.94E+01	5.77E+01	2.53E+01	7.56E+00	3.26E+01
G2_42	3.91E+01	3.45E+00	4.15E+01	5.94E+01	2.13E+01	7.36E+00	6.43E+01
G2_43	2.08E+01	2.17E+00	2.90E+01	5.00E+01	2.36E+01	6.39E+00	4.75E+01
G2_44	4.86E+01	2.37E+00	5.77E+01	5.88E+01	4.16E+01	8.50E+00	9.09E+01
G2_45	5.12E+01	4.10E+00	4.54E+01	8.31E+01	4.87E+01	6.13E+00	8.40E+01
G2_46	1.69E+01	2.14E+00	2.89E+01	3.57E+01	2.35E+01	4.04E+00	3.62E+01
G2_47	2.46E+01	1.32E+00	1.65E+01	2.30E+01	7.12E+00	5.09E+00	3.48E+01
G2_48	2.62E+01	3.12E+00	4.76E+01	8.54E+01	2.62E+01	5.93E+00	5.82E+01
G2_49	1.25E+01	3.88E+00	4.88E+01	8.07E+01	2.85E+01	7.96E+00	3.91E+01
G2_50	4.36E+01	3.76E+00	5.59E+01	7.78E+01	4.79E+01	6.60E+00	1.13E+02
G2_51	2.63E+01	3.71E+00	5.45E+01	6.98E+01	4.81E+01	5.44E+00	5.97E+01
G2_52	3.39E+01	2.34E+00	3.70E+01	6.70E+01	5.82E+01	5.85E+00	9.44E+01
G2_53	9.46E+00	2.61E+00	3.89E+01	6.17E+01	2.20E+01	4.16E+00	1.89E+01
G2_54	3.08E+01	2.42E+00	7.63E+01	1.11E+02	3.72E+01	8.18E+00	5.40E+01
G2_55	1.65E+01	3.01E+00	2.75E+01	3.23E+01	2.21E+01	5.08E+00	3.42E+01
G2_56	3.82E+01	7.56E+00	5.62E+01	1.30E+02	6.51E+01	8.47E+00	8.91E+01
G2_57	1.71E+01	1.98E+00	4.20E+01	7.81E+01	4.82E+01	5.51E+00	5.29E+01
G2_58	3.46E+01	5.16E+00	6.10E+00	4.46E+01	6.15E+01	8.51E+00	8.19E+01
G2_59	1.21E+01	2.10E+00	2.54E+01	3.89E+01	2.60E+01	3.31E+00	2.64E+01
G2_60	3.81E+01	3.01E+00	3.99E+01	5.00E+01	3.81E+01	6.47E+00	7.85E+01
G2_61	5.17E+01	3.74E+00	8.65E+01	8.89E+01	3.05E+01	8.07E+00	1.03E+02
G2_62	9.06E+00	7.77E-01	1.38E+01	1.87E+01	2.04E+01	2.52E+00	2.75E+01
G2_63	1.92E+01	2.60E+00	4.04E+01	6.11E+01	1.79E+01	4.28E+00	3.08E+01
G2_64	2.94E+01	3.88E+00	4.15E+01	7.36E+01	2.58E+01	8.49E+00	4.92E+01
G2_65	3.54E+01	1.71E+00	3.33E+01	5.13E+01	2.61E+01	4.47E+00	6.92E+01
G2_66	5.07E+01	4.79E+00	4.48E+01	5.07E+01	3.52E+01	6.90E+00	1.04E+02
G2_67	1.48E+01	4.15E+00	4.81E+01	7.92E+01	4.75E+01	7.47E+00	5.85E+01
G2_68	6.90E+01	3.10E+00	6.93E+01	6.24E+01	4.63E+01	8.90E+00	1.26E+02
G2_69	2.61E+01	3.59E+00	2.31E+01	2.77E+01	2.47E+01	4.18E+00	4.85E+01
G2_70	5.21E+01	4.57E+00	5.69E+01	7.63E+01	5.96E+01	7.79E+00	1.01E+02
G2_71	5.33E+01	2.80E+00	3.63E+01	4.53E+01	2.31E+01	4.94E+00	8.77E+01
G2_72	4.64E+01	3.09E+00	4.54E+01	5.37E+01	4.28E+01	6.10E+00	8.36E+01
G2_73	2.66E+01	2.25E+00	3.11E+01	5.50E+01	3.43E+01	6.33E+00	6.62E+01
G3_1	2.62E+00	1.05E+02	2.76E+01	3.02E+01	2.40E+01	3.65E+00	1.14E+02
G3_2	5.44E+00	4.13E+02	1.25E+02	4.77E+01	4.03E+01	5.70E+00	5.05E+02
G3_3	1.43E+00	2.06E+01	2.30E+01	2.65E+01	1.00E+01	1.71E+00	2.64E+01
G3_4	5.44E+00	2.58E+02	9.31E+01	1.04E+02	6.98E+01	6.99E+00	2.92E+02
G3_5	1.43E+00	1.43E+02	4.04E+01	4.81E+01	2.09E+01	6.52E+00	1.87E+02
G3_6	1.16E+00	6.15E+01	2.37E+01	2.31E+01	1.54E+01	4.23E+00	8.03E+01
G3_7	2.04E+00	5.53E+01	3.72E+01	2.93E+01	1.41E+01	4.86E+00	4.79E+01
G3_8	3.20E+00	1.60E+02	3.62E+01	2.72E+01	1.76E+01	4.56E+00	1.85E+02
G3_9	4.24E+00	2.27E+02	7.80E+01	9.30E+01	5.18E+01	6.57E+00	2.56E+02
G3_10	1.95E+00	2.03E+02	7.19E+01	6.19E+01	2.63E+01	4.11E+00	2.33E+02
G3_11	6.55E+00	1.68E+02	3.56E+01	5.04E+01	5.04E+01	8.03E+00	1.59E+02
G3_12	2.59E+00	3.92E+02	1.08E+02	6.35E+01	9.50E+00	3.70E+00	4.64E+02
G3_13	5.20E+00	3.90E+01	7.80E+01	5.85E+01	4.90E+01	5.00E+00	5.82E+01
G3_14	1.26E+00	1.05E+02	2.14E+01	2.85E+01	2.30E+01	2.92E+00	1.17E+02
G3_15	3.05E+00	2.24E+02	8.26E+01	6.44E+01	2.87E+01	6.98E+00	2.74E+02
G3_16	1.54E+00	5.88E+01	2.01E+01	2.50E+01	1.25E+01	1.86E+00	7.27E+01
G3_17	1.66E+00	5.68E+01	2.34E+01	3.51E+01	3.44E+01	4.77E+00	6.84E+01
