Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
G1_1	0	82	1713	232	1876	129	421	0
G1_2	0	0	729	131	1785	0	416	165
G1_3	39	41	1374	0	892	12	314	0
G1_4	0	0	527	83	1357	0	286	108
G1_5	58	107	556	0	2416	289	846	0
G1_6	31	38	478	0	925	523	36	0
G1_7	0	0	2134	259	1302	463	726	150
G1_8	0	0	839	139	2542	385	326	128
G1_9	0	0	67	51	859	238	0	72
G1_10	0	0	528	85	473	224	0	48
G1_11	0	0	450	57	580	13	136	46
G1_12	0	82	336	192	2272	1206	12	0
G1_13	20	0	291	0	1067	0	55	79
G1_14	0	27	460	51	683	164	85	0
G1_15	0	0	392	282	2438	796	492	195
G1_16	0	0	497	78	854	0	179	60
G1_17	0	48	1772	206	1036	836	465	0
G1_18	42	40	522	18	711	902	0	0
G1_19	0	0	1182	51	818	237	205	70
G1_20	15	36	427	0	674	286	0	0
G1_21	0	0	413	97	1120	0	279	87
G1_22	0	28	395	111	660	701	3	0
G1_23	0	0	1278	155	2545	0	575	213
G2_1	357	0	0	262	20	220	104	24
G2_2	1810	0	0	1547	106	0	762	81
G2_3	2161	0	598	723	104	203	0	52
G2_4	2799	19	1035	0	133	657	366	33
G2_5	1140	2	469	0	47	394	0	0
G2_6	1110	0	590	0	50	0	167	30
G2_7	2084	0	691	116	92	702	311	65
G2_8	615	0	0	1312	40	174	58	28
G2_9	3075	39	710	0	102	850	0	0
G2_10	1988	33	638	528	102	33	710	0
G2_11	754	0	320	3045	100	125	564	75
G2_12	727	5	473	0	13	0	146	0
G2_13	1063	0	390	151	19	303	59	41
G2_14	1001	0	216	251	26	394	233	36
G2_15	1527	12	518	220	30	225	0	0
G2_16	1144	0	335	0	77	262	0	47
G2_17	1981	18	551	0	21	262	0	0
G2_18	2078	0	731	164	33	488	0	42
G2_19	705	0	133	698	63	443	0	40
G2_20	1229	19	144	1979	122	101	91	0
G2_21	1651	0	1060	622	108	121	763	49
G2_22	265	8	0	0	9	140	109	0
G2_23	1295	0	409	0	42	356	85	21
G2_24	425	3	21	980	27	0	0	0
G2_25	1526	14	334	134	36	688	0	0
G2_26	509	0	0	989	16	39	12	18
G2_27	1911	33	1091	0	65	259	405	0
G2_28	1863	20	519	1008	107	794	185	31
G2_29	2479	46	872	540	102	12	785	0
G2_30	2101	45	613	1858	61	0	282	0
G2_31	192	4	0	579	0	0	29	0
G2_32	1237	0	675	290	57	0	335	37
G2_33	741	0	0	1094	5	0	88	20
G2_34	316	15	187	587	0	0	116	0
G2_35	1232	0	489	635	56	138	191	33
G2_36	676	0	116	325	50	0	371	27
G2_37	633	0	42	1092	25	275	78	17
G2_38	1257	24	310	675	56	750	0	0
G2_39	1643	24	861	0	88	174	634	0
G2_40	548	5	152	0	19	253	2	0
G2_41	825	0	388	124	65	0	319	20
G2_42	1779	0	240	1003	134	178	300	61
G2_43	880	12	208	503	32	456	0	0
G2_44	1512	0	0	1045	58	505	72	22
G2_45	2145	0	430	420	94	0	344	54
G2_46	851	14	311	0	28	321	54	0
G2_47	343	10	138	419	21	0	0	0
G2_48	1473	31	918	0	30	0	746	0
G2_49	1364	0	481	0	34	554	0	51
G2_50	2268	37	24	1715	73	345	163	0
G2_51	1213	0	154	560	35	498	0	53
G2_52	1555	0	1003	0	48	0	482	41
G2_53	662	15	393	0	26	27	184	0
G2_54	1584	0	523	1368	90	0	216	33
G2_55	983	7	448	612	63	521	27	41
G2_56	1898	0	440	756	81	255	769	96
G2_57	1286	0	566	259	56	0	132	27
G2_58	1609	50	170	0	112	197	902	0
G2_59	396	0	189	331	23	0	154	20
G2_60	1237	14	298	1342	41	353	0	0
G2_61	2513	0	1379	74	102	443	339	52
G2_62	129	0	0	797	12	0	68	11
G2_63	691	0	303	200	30	45	37	21
G2_64	1941	26	455	330	73	615	64	0
G2_65	1019	13	332	0	30	218	133	0
G2_66	2774	0	0	1671	76	135	0	53
G2_67	983	0	360	420	69	189	516	46
G2_68	1529	0	519	1554	84	0	138	67
G2_69	832	30	317	285	32	324	161	0
G2_70	1587	0	82	1180	72	715	0	45
G2_71	936	22	640	0	43	0	318	0
G2_72	1510	0	649	0	43	619	184	49
G2_73	978	0	0	919	53	0	443	30
G3_1	0	1237	422	73	14	0	240	195
G3_2	48	3248	653	0	50	717	124	0
G3_3	7	355	202	0	8	0	0	165
G3_4	0	2645	158	116	51	659	145	685
G3_5	0	1164	287	25	30	377	0	0
G3_6	0	455	287	33	20	0	0	249
G3_7	0	1039	228	36	17	200	0	67
G3_8	22	1583	286	0	24	0	277	0
G3_9	0	2779	59	109	18	675	165	141
G3_10	0	1988	318	138	30	527	0	393
G3_11	0	2019	807	205	88	0	94	1129
G3_12	28	3670	932	0	39	0	137	0
G3_13	0	1421	108	107	66	802	0	246
G3_14	0	1002	570	41	12	0	72	308
G3_15	0	2251	1045	101	58	182	44	212
G3_16	0	672	121	13	8	143	0	0
G3_17	0	625	41	16	20	578	0	18
G3_18	12	1672	535	0	35	0	39	285
G3_19	23	676	415	0	28	0	10	479
G3_20	25	2431	856	67	45	0	138	300
G3_21	19	523	161	0	18	143	0	289
G3_22	53	1524	547	0	62	1011	0	0
G3_23	0	2143	1050	59	1	0	128	32
G3_24	0	564	125	61	21	28	83	197
G3_25	33	3412	0	0	31	278	160	181
G3_26	0	495	0	0	7	30	92	67
G3_27	21	663	67	0	28	190	0	244
G3_28	0	2302	0	76	23	140	16	623
G3_29	0	987	185	26	25	0	0	491
G3_30	41	3526	805	0	78	0	118	479
G3_31	0	2004	580	39	33	123	9	152
G3_32	6	508	0	0	4	44	86	35
G3_33	15	1424	380	0	28	0	0	317
G3_34	62	3689	372	0	52	511	213	62
G3_35	0	1266	164	81	27	186	20	248
G3_36	9	421	107	0	2	107	13	0
G3_37	0	2223	1148	84	18	0	11	360
G3_38	0	1276	8	69	19	378	175	175
G3_39	17	1997	214	0	64	0	0	763
G3_40	0	2176	907	112	49	860	0	0
G3_41	0	2429	392	136	48	0	645	497
G3_42	12	1843	523	0	29	0	32	45
G3_43	46	2735	590	0	81	0	489	161
G3_44	35	2006	54	0	8	57	264	0
G3_45	0	772	209	10	14	172	96	0
G3_46	0	736	155	85	18	24	0	565
G3_47	10	981	226	0	9	101	0	167
G3_48	8	1149	0	0	0	0	0	283
G3_49	28	1653	709	0	45	0	242	133
G3_50	0	1516	616	84	61	225	3	441
G3_51	46	2071	735	0	67	379	88	388
G3_52	0	1038	200	86	0	0	13	502
G3_53	8	981	206	0	13	12	106	0
G3_54	18	590	76	0	15	48	124	0
G3_55	0	3421	25	118	24	531	0	673
