Samples	SBS1	SBS2	SBS5	SBS10a	SBS13
G1_1	2508	0	1243	0	702
G1_2	1531	0	1022	0	673
G1_3	1630	0	711	0	331
G1_4	1124	0	726	0	511
G1_5	1732	0	1639	0	901
G1_6	1044	0	639	0	348
G1_7	2712	0	1857	0	465
G1_8	2089	0	1317	0	953
G1_9	562	0	400	0	325
G1_10	787	0	394	0	177
G1_11	673	0	396	0	213
G1_12	1852	0	1395	0	853
G1_13	752	0	356	0	404
G1_14	795	0	419	0	256
G1_15	1867	0	1822	0	906
G1_16	855	0	490	0	323
G1_17	2387	0	1608	0	368
G1_18	1122	0	850	0	263
G1_19	1503	0	759	0	301
G1_20	809	0	370	0	259
G1_21	919	0	657	0	420
G1_22	939	0	717	0	242
G1_23	2366	0	1442	0	958
G2_1	189	326	472	0	0
G2_2	663	1760	1883	0	0
G2_3	947	1803	1091	0	0
G2_4	1251	2069	1722	0	0
G2_5	589	845	618	0	0
G2_6	565	830	552	0	0
G2_7	974	1561	1526	0	0
G2_8	574	812	841	0	0
G2_9	1033	2292	1451	0	0
G2_10	856	1612	1564	0	0
G2_11	1515	1382	2086	0	0
G2_12	435	540	389	0	0
G2_13	531	827	668	0	0
G2_14	449	796	912	0	0
G2_15	656	1201	675	0	0
G2_16	445	849	571	0	0
G2_17	626	1486	721	0	0
G2_18	918	1580	1038	0	0
G2_19	569	705	808	0	0
G2_20	979	1467	1239	0	0
G2_21	1276	1373	1725	0	0
G2_22	60	194	277	0	0
G2_23	520	951	737	0	0
G2_24	413	605	438	0	0
G2_25	628	1165	939	0	0
G2_26	391	645	547	0	0
G2_27	1127	1423	1214	0	0
G2_28	1195	1653	1679	0	0
G2_29	1074	1987	1775	0	0
G2_30	1299	2082	1579	0	0
G2_31	217	302	285	0	0
G2_32	742	986	903	0	0
G2_33	420	854	674	0	0
G2_34	391	396	434	0	0
G2_35	761	1087	926	0	0
G2_36	256	580	729	0	0
G2_37	556	763	843	0	0
G2_38	834	1111	1127	0	0
G2_39	895	1213	1316	0	0
G2_40	242	407	330	0	0
G2_41	432	641	668	0	0
G2_42	744	1599	1352	0	0
G2_43	562	790	739	0	0
G2_44	614	1403	1197	0	0
G2_45	614	1700	1173	0	0
G2_46	416	630	533	0	0
G2_47	303	383	245	0	0
G2_48	850	1079	1269	0	0
G2_49	655	1004	825	0	0
G2_50	860	2168	1597	0	0
G2_51	556	1046	911	0	0
G2_52	931	1147	1051	0	0
G2_53	381	489	437	0	0
G2_54	1032	1553	1229	0	0
G2_55	850	889	963	0	0
G2_56	832	1594	1869	0	0
G2_57	641	1030	655	0	0
G2_58	319	1187	1534	0	0
G2_59	307	382	424	0	0
G2_60	920	1285	1080	0	0
G2_61	1477	1870	1555	0	0
G2_62	300	311	406	0	0
G2_63	379	566	382	0	0
G2_64	810	1532	1162	0	0
G2_65	405	759	581	0	0
G2_66	752	2532	1425	0	0
G2_67	590	830	1163	0	0
G2_68	1096	1562	1233	0	0
G2_69	531	685	765	0	0
G2_70	821	1495	1365	0	0
G2_71	607	696	656	0	0
G2_72	827	1102	1125	0	0
G2_73	383	970	1070	0	0
G3_1	784	0	371	1026	0
G3_2	1785	0	567	2488	0
G3_3	302	0	92	343	0
G3_4	1291	0	869	2299	0
G3_5	748	0	235	900	0
G3_6	436	0	152	456	0
G3_7	599	0	164	824	0
G3_8	724	0	259	1209	0
G3_9	1164	0	609	2173	0
G3_10	1148	0	566	1680	0
G3_11	1538	0	791	2013	0
G3_12	1893	0	104	2809	0
G3_13	889	0	669	1192	0
G3_14	843	0	264	898	0
G3_15	1702	0	376	1815	0
G3_16	357	0	86	514	0
G3_17	434	0	378	486	0
G3_18	1001	0	176	1401	0
G3_19	628	0	283	720	0
G3_20	1527	0	350	1985	0
G3_21	386	0	245	522	0
G3_22	1304	0	713	1180	0
G3_23	1547	0	213	1653	0
G3_24	341	0	224	514	0
G3_25	1129	0	310	2656	0
G3_26	169	0	118	404	0
G3_27	362	0	240	611	0
G3_28	839	0	337	2004	0
G3_29	531	0	226	957	0
G3_30	1820	0	333	2894	0
G3_31	1173	0	172	1595	0
G3_32	172	0	108	403	0
G3_33	800	0	138	1226	0
G3_34	1603	0	528	2830	0
G3_35	646	0	279	1067	0
G3_36	253	0	82	324	0
G3_37	1718	0	269	1857	0
G3_38	570	0	484	1046	0
G3_39	905	0	295	1855	0
G3_40	1777	0	653	1674	0
G3_41	1189	0	902	2056	0
G3_42	1007	0	48	1429	0
G3_43	1365	0	589	2148	0
G3_44	659	0	249	1516	0
G3_45	474	0	210	589	0
G3_46	467	0	320	796	0
G3_47	540	0	136	818	0
G3_48	360	0	80	1000	0
G3_49	1133	0	352	1325	0
G3_50	1162	0	437	1347	0
G3_51	1444	0	583	1747	0
G3_52	570	0	271	998	0
G3_53	476	0	100	750	0
G3_54	264	0	156	451	0
G3_55	1346	0	569	2877	0
