Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
G1_1	4453	0.999	446.547	10.028%	61.453	4.659%	0.01879	0.999
G1_2	3226	0.999	334.655	10.374%	45.381	5.249%	0.02203	0.998
G1_3	2672	0.996	391.284	14.644%	76.02	9.159%	0.02752	0.995
G1_4	2361	0.997	302.77	12.824%	45.768	7.244%	0.02477	0.997
G1_5	4272	0.997	507.578	11.882%	81.596	7.912%	0.02001	0.996
G1_6	2031	0.996	291.548	14.355%	51.354	9.101%	0.02646	0.995
G1_7	5034	0.999	532.006	10.568%	77.94	5.459%	0.0179	0.998
G1_8	4359	0.999	467.974	10.736%	66.102	5.532%	0.02012	0.998
G1_9	1287	0.997	200.431	15.574%	27.897	8.481%	0.04806	0.996
G1_10	1358	0.997	211.369	15.565%	30.46	7.461%	0.05491	0.997
G1_11	1282	0.994	225.164	17.563%	40.08	11.049%	0.04909	0.993
G1_12	4100	0.997	491.718	11.993%	75.951	7.141%	0.02288	0.997
G1_13	1512	0.997	233.002	15.41%	34.838	7.956%	0.04199	0.997
G1_14	1470	0.998	198.343	13.493%	30.712	7.157%	0.03754	0.997
G1_15	4595	0.999	416.736	9.069%	60.387	5.446%	0.01333	0.998
G1_16	1668	0.992	322.133	19.313%	62.703	13.123%	0.04859	0.99
G1_17	4363	0.998	542.029	12.423%	88.23	6.949%	0.02124	0.998
G1_18	2235	0.997	301.602	13.494%	48.235	8.12%	0.02368	0.996
G1_19	2563	0.999	303.802	11.853%	43.934	5.623%	0.02647	0.998
G1_20	1438	0.995	246.593	17.148%	43.783	10.269%	0.0415	0.994
G1_21	1996	0.996	288.96	14.477%	45.864	8.724%	0.03074	0.996
G1_22	1898	0.997	256.396	13.509%	39.908	7.85%	0.02783	0.997
G1_23	4766	0.999	448.754	9.416%	67.035	5.092%	0.01665	0.999
G2_1	987	0.994	173.829	17.612%	28.529	11.183%	0.04658	0.993
G2_2	4306	0.999	387.337	8.995%	51.875	4.176%	0.01375	0.999
G2_3	3841	0.998	399.336	10.397%	74.066	5.802%	0.01515	0.998
G2_4	5042	0.999	370.981	7.358%	51.191	3.368%	0.01162	0.999
G2_5	2052	0.998	259.402	12.641%	37.893	5.953%	0.0318	0.998
G2_6	1947	0.998	253.411	13.015%	44.613	7.407%	0.02593	0.997
G2_7	4061	0.999	347.058	8.546%	46.173	3.936%	0.01221	0.999
G2_8	2227	0.998	272.211	12.223%	41.258	6.621%	0.02054	0.997
G2_9	4776	0.999	398.382	8.341%	60.854	3.788%	0.01078	0.999
G2_10	4032	0.999	290.648	7.209%	46.456	3.951%	0.01179	0.999
G2_11	4983	0.999	432.927	8.688%	64.512	5.129%	0.01082	0.998
G2_12	1364	0.997	212.437	15.575%	34.294	8.165%	0.04793	0.996
G2_13	2026	0.999	173.461	8.562%	26.133	4.254%	0.01804	0.999
G2_14	2157	0.999	221.099	10.25%	30.284	5.131%	0.01964	0.998
G2_15	2532	0.999	255.446	10.089%	37.381	4.392%	0.01986	0.999
G2_16	1865	0.999	214.042	11.477%	30.914	5.197%	0.02835	0.999
G2_17	2833	0.999	245.983	8.683%	39.833	3.917%	0.01512	0.999
G2_18	3536	0.999	320.588	9.066%	47.884	4.196%	0.0165	0.999
G2_19	2082	0.998	266.67	12.808%	41.68	7.196%	0.02892	0.997
G2_20	3685	0.999	322.143	8.742%	46.931	4.259%	0.01452	0.999
G2_21	4374	0.999	394.524	9.02%	61.123	5.225%	0.01139	0.998
G2_22	531	0.989	141.869	26.717%	21.689	15.153%	0.09748	0.987
G2_23	2208	0.998	269.255	12.195%	42.736	6.226%	0.0269	0.998
G2_24	1456	0.997	236.173	16.221%	37.231	8.234%	0.04483	0.996
G2_25	2732	0.999	264.337	9.676%	42.074	4.967%	0.01753	0.999
G2_26	1583	0.997	258.018	16.299%	38.345	8.002%	0.04301	0.996
